"action","authority","title","publisher","publishing_line","record_id"
"AUDIT SERIES","Butterfly","Butterfly","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Marian Heretic","Marian Heretic","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","MMPR/TMNT","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Blink And You’ll Miss It","Blink And You’ll Miss It","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The War","The War","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Last Witch","The Last Witch","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","VR Troopers","VR Troopers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Killer","The Killer","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Be Not Afraid","Be Not Afraid","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Last Boy","The Last Boy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Bronze Faces","Bronze Faces","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jim Henson Presents","Jim Henson Presents","Boom! Studios","Archaia",""
"AUDIT SERIES","When I Lay My Vengeance Upon Thee","When I Lay My Vengeance Upon Thee","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wynd","Wynd","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Cyanide & Happiness","Cyanide & Happiness","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Namesake","Namesake","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Creeping Below","The Creeping Below","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Vicarious","Vicarious","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","BRZRKR","BRZRKR: The Lost Book of B","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Farscape","Farscape","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Minor Arcana","Minor Arcana","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Graveyard Club","The Graveyard Club","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","S.I.R.","S.I.R.","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Red Before Black","Red Before Black","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Nomads: The Sky Kingdom","Nomads: The Sky Kingdom","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Hello Darkness","Hello Darkness","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Crocodile Black","Crocodile Black","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Lawful","Lawful","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Profane","Profane","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Lotus Land","Lotus Land","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Uncanny Valley","Uncanny Valley","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","MMPR: The Return","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","I Heart Skull-Crusher!","I Heart Skull-Crusher!","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Ranger Academy","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Animal Pound","Animal Pound","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Welcome to Wanderland","Welcome to Wanderland","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","We Only Find Them When They're Dead","We Only Find Them When They're Dead","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Woods","The Woods","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Unsound","The Unsound","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Thrilling Adventure Hour","The Thrilling Adventure Hour","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Wild's End","Wild's End","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Jim Henson's The Storyteller","Jim Henson's The Storyteller","Boom! Studios","Archaia",""
"AUDIT SERIES","A Short While","A Short While","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Seasons Have Teeth","The Seasons Have Teeth","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","A Spark Within the Forge","A Spark Within the Forge","Boom! Studios","Archaia",""
"AUDIT SERIES","The Red Mother","The Red Mother","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Not-So Secret Society","The Not-So Secret Society","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Midas","Midas","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Many Deaths of Laila Starr","The Many Deaths of Laila Starr","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","The Expanse","The Expanse","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sparrow's Roar","Sparrow's Roar","Boom! Studios","Archaia",""
"AUDIT SERIES","Girl in the Himalayas","Girl in the Himalayas","Boom! Studios","Archaia",""
"AUDIT SERIES","Jim Henson's The Dark Crystal","Jim Henson's The Dark Crystal","Boom! Studios","Archaia",""
"AUDIT SERIES","The Approach","The Approach","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Talent","Talent","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Stuff of Nightmares","Stuff of Nightmares","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Strange Skies Over East Berlin","Strange Skies Over East Berlin","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sparrowhawk","Sparrowhawk","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Something is Killing the Children","Something is Killing the Children","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Smooth Criminals","Smooth Criminals","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Slam!","Slam!","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Sisters of Sorrow","Sisters of Sorrow","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Sirens of the City","Sirens of the City","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Rust","Rust","Boom! Studios","Archaia",""
"AUDIT SERIES","Run Wild","Run Wild","Boom! Studios","Archaia",""
"AUDIT SERIES","Ronin Island","Ronin Island","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","RoboCop","RoboCop","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Proctor Valley Road","Proctor Valley Road","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mighty Morphin Power Rangers","Power Rangers","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Petals","Petals","Boom! Studios","Archaia",""
"AUDIT SERIES","Persephone","Persephone","Boom! Studios","Archaia",""
"AUDIT SERIES","Once & Future","Once & Future","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Nuclear Winter","Nuclear Winter","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Mouse Guard","Mouse Guard","Boom! Studios","Archaia",""
"AUDIT SERIES","Mosely","Mosely","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Misfit City","Misfit City","Boom! Studios","BOOM! Box",""
"AUDIT SERIES","Mech Cadet Yu","Mech Cadet Yu","Boom! Studios","BOOM! Studios",""
"AUDIT SERIES","Maw","Maw","Boom! Studios","BOOM! Studios",""
