"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT AUTHORITY","Age of Reptiles","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Age of Reptiles","Age of Reptiles","Dark Horse","Dark Horse Originals","1993","1994"
"AUDIT SERIES","Age of Reptiles","Age of Reptiles: The Hunt","Dark Horse","Dark Horse Originals","1996","1996"
"AUDIT SERIES","Age of Reptiles","Age of Reptiles: The Journey","Dark Horse","Dark Horse Originals","2009","2010"
"AUDIT SERIES","Age of Reptiles","Age of Reptiles: Ancient Egyptians","Dark Horse","Dark Horse Originals","2015","2015"
"AUDIT AUTHORITY","Alabaster","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Alabaster","Alabaster: Wolves","Dark Horse","Dark Horse Originals","2012","2012"
"AUDIT SERIES","Alabaster","Alabaster: Grimmer Tales","Dark Horse","Dark Horse Originals","2013","2014"
"AUDIT SERIES","Alabaster","Alabaster: The Good, the Bad, and the Bird","Dark Horse","Dark Horse Originals","2015","2016"
"AUDIT AUTHORITY","The Amazing Screw-On Head","","Dark Horse","Maverick","",""
"AUDIT SERIES","The Amazing Screw-On Head","The Amazing Screw-On Head","Dark Horse","Maverick","2002","2002"
"AUDIT AUTHORITY","The American","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The American","The American","Dark Horse","Dark Horse Originals","1987","1989"
"AUDIT SERIES","The American","The American: Lost in America","Dark Horse","Dark Horse Originals","1990","1992"
"AUDIT AUTHORITY","American Splendor","","Dark Horse","Maverick","",""
"AUDIT SERIES","American Splendor","American Splendor","Dark Horse","Maverick","1991","1993"
"AUDIT SERIES","American Splendor","American Splendor","Dark Horse","Maverick","1995","1995"
"AUDIT SERIES","American Splendor","American Splendor: Terminal","Dark Horse","Maverick","1999","1999"
"AUDIT SERIES","American Splendor","American Splendor: Unsung Hero","Dark Horse","Maverick","2002","2002"
"AUDIT AUTHORITY","Bad Luck Chuck","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Bad Luck Chuck","Bad Luck Chuck","Dark Horse","Dark Horse Originals","2019","2019"
"AUDIT AUTHORITY","Baltimore","","Dark Horse","Outerverse","",""
"AUDIT SERIES","Baltimore","Baltimore: The Plague Ships","Dark Horse","Outerverse","2010","2010"
"AUDIT SERIES","Baltimore","Baltimore: The Curse Bells","Dark Horse","Outerverse","2011","2012"
"AUDIT SERIES","Baltimore","Baltimore: Dr. Leskovar’s Remedy","Dark Horse","Outerverse","2012","2012"
"AUDIT SERIES","Baltimore","Baltimore: The Widow and the Tank","Dark Horse","Outerverse","2013","2013"
"AUDIT SERIES","Baltimore","Baltimore: The Infernal Train","Dark Horse","Outerverse","2013","2013"
"AUDIT SERIES","Baltimore","Baltimore: Chapel of Bones","Dark Horse","Outerverse","2014","2014"
"AUDIT SERIES","Baltimore","Baltimore: The Witch of Harju","Dark Horse","Outerverse","2014","2014"
"AUDIT SERIES","Baltimore","Baltimore: The Cult of the Red King","Dark Horse","Outerverse","2015","2015"
"AUDIT SERIES","Baltimore","Baltimore: Empty Graves","Dark Horse","Outerverse","2016","2016"
"AUDIT SERIES","Baltimore","Baltimore: The Red Kingdom","Dark Horse","Outerverse","2017","2017"
"AUDIT AUTHORITY","Bang!","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Bang!","Bang!","Dark Horse","Dark Horse Originals","2020","2020"
"AUDIT AUTHORITY","Beasts of Burden","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Beasts of Burden","Beasts of Burden","Dark Horse","Dark Horse Originals","2009","2010"
"AUDIT SERIES","Beasts of Burden","Beasts of Burden: What the Cat Dragged In","Dark Horse","Dark Horse Originals","2016","2016"
"AUDIT SERIES","Beasts of Burden","Beasts of Burden: Wise Dogs and Eldritch Men","Dark Horse","Dark Horse Originals","2018","2019"
"AUDIT SERIES","Beasts of Burden","Beasts of Burden: Occupied Territory","Dark Horse","Dark Horse Originals","2021","2021"
"AUDIT AUTHORITY","The Black Beetle","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Black Beetle","The Black Beetle: No Way Out","Dark Horse","Dark Horse Originals","2013","2013"
"AUDIT SERIES","The Black Beetle","The Black Beetle: Necrologue","Dark Horse","Dark Horse Originals","2013","2014"
"AUDIT AUTHORITY","Black Hammer","","Dark Horse","Black Hammer Universe","",""
"AUDIT SERIES","Black Hammer","Black Hammer","Dark Horse","Black Hammer Universe","2016","2017"
"AUDIT SERIES","Black Hammer","Black Hammer: Age of Doom","Dark Horse","Black Hammer Universe","2018","2019"
"AUDIT SERIES","Black Hammer","Black Hammer Reborn","Dark Horse","Black Hammer Universe","2021","2022"
"AUDIT SERIES","Black Hammer","Black Hammer: The End","Dark Horse","Black Hammer Universe","2023","2024"
"AUDIT SERIES","Black Hammer","Black Hammer ’45","Dark Horse","Black Hammer Universe","2019","2019"
"AUDIT SERIES","Black Hammer","Barbalien: Red Planet","Dark Horse","Black Hammer Universe","2020","2021"
"AUDIT SERIES","Black Hammer","Colonel Weird: Cosmagog","Dark Horse","Black Hammer Universe","2020","2021"
"AUDIT SERIES","Black Hammer","Doctor Star and the Kingdom of Lost Tomorrows","Dark Horse","Black Hammer Universe","2018","2018"
"AUDIT SERIES","Black Hammer","Sherlock Frankenstein and the Legion of Evil","Dark Horse","Black Hammer Universe","2017","2018"
"AUDIT SERIES","Black Hammer","Skulldigger + Skeleton Boy","Dark Horse","Black Hammer Universe","2019","2021"
"AUDIT SERIES","Black Hammer","The Quantum Age","Dark Horse","Black Hammer Universe","2018","2019"
"AUDIT SERIES","Black Hammer","The Unbelievable Unteens","Dark Horse","Black Hammer Universe","2021","2022"
"AUDIT AUTHORITY","Black Pearl","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Black Pearl","The Black Pearl","Dark Horse","Dark Horse Originals","1996","1997"
"AUDIT AUTHORITY","Blue Book","","Dark Horse","Tiny Onion","",""
"AUDIT SERIES","Blue Book","Blue Book","Dark Horse","Tiny Onion","2023","2023"
"AUDIT SERIES","Blue Book","Blue Book: 1947","Dark Horse","Tiny Onion","2024","2024"
"AUDIT AUTHORITY","Boris the Bear","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Boris the Bear","Boris the Bear","Dark Horse","Dark Horse Originals","1986","1987"
"AUDIT AUTHORITY","Canto","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Canto","Canto","Dark Horse","Dark Horse Originals","2024","2024"
"AUDIT SERIES","Canto","Canto: A Place Like Home","Dark Horse","Dark Horse Originals","2024","2025"
"AUDIT AUTHORITY","Colder","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Colder","Colder","Dark Horse","Dark Horse Originals","2012","2013"
"AUDIT SERIES","Colder","Colder: The Bad Seed","Dark Horse","Dark Horse Originals","2014","2015"
"AUDIT SERIES","Colder","Colder: Toss the Bones","Dark Horse","Dark Horse Originals","2015","2016"
"AUDIT AUTHORITY","Concrete","","Dark Horse","Legend","",""
"AUDIT SERIES","Concrete","Concrete","Dark Horse","Legend","1987","1988"
"AUDIT SERIES","Concrete","Concrete: Fragile Creature","Dark Horse","Legend","1991","1992"
"AUDIT SERIES","Concrete","Concrete: Killer Smile","Dark Horse","Legend","1994","1994"
"AUDIT SERIES","Concrete","Concrete: Think Like a Mountain","Dark Horse","Legend","1996","1996"
"AUDIT SERIES","Concrete","Concrete: Strange Armor","Dark Horse","Legend","1997","1998"
"AUDIT SERIES","Concrete","Concrete: The Human Dilemma","Dark Horse","Legend","2004","2005"
"AUDIT AUTHORITY","Count Crowley","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Count Crowley","Count Crowley: Reluctant Midnight Monster Hunter","Dark Horse","Dark Horse Originals","2019","2020"
"AUDIT SERIES","Count Crowley","Count Crowley: Amateur Midnight Monster Hunter","Dark Horse","Dark Horse Originals","2022","2022"
"AUDIT SERIES","Count Crowley","Count Crowley: Mediocre Midnight Monster Hunter","Dark Horse","Dark Horse Originals","2023","2024"
"AUDIT AUTHORITY","Criminal Macabre","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Criminal Macabre","Criminal Macabre","Dark Horse","Dark Horse Originals","2003","2003"
"AUDIT SERIES","Criminal Macabre","Criminal Macabre: A Cal McDonald Mystery","Dark Horse","Dark Horse Originals","2006","2006"
"AUDIT SERIES","Criminal Macabre","Criminal Macabre: Cell Block 666","Dark Horse","Dark Horse Originals","2008","2009"
"AUDIT SERIES","Criminal Macabre","Criminal Macabre: The Eyes of Frankenstein","Dark Horse","Dark Horse Originals","2011","2012"
"AUDIT SERIES","Criminal Macabre","Criminal Macabre: Final Night – The 30 Days of Night Crossover","Dark Horse","Dark Horse Originals","2012","2013"
"AUDIT AUTHORITY","Dept. H","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Dept. H","Dept. H","Dark Horse","Dark Horse Originals","2016","2018"
"AUDIT AUTHORITY","The EC Archives","","Dark Horse","Dark Horse Archives","",""
"AUDIT SERIES","The EC Archives","The EC Archives","Dark Horse","Dark Horse Archives","2006","2026"
"AUDIT AUTHORITY","Emily the Strange","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Emily the Strange","Emily the Strange","Dark Horse","Dark Horse Originals","2005","2007"
"AUDIT SERIES","Emily the Strange","Emily the Strange","Dark Horse","Dark Horse Originals","2007","2008"
"AUDIT SERIES","Emily the Strange","Emily the Strange","Dark Horse","Dark Horse Originals","2009","2010"
"AUDIT SERIES","Emily the Strange","Emily and the Strangers","Dark Horse","Dark Horse Originals","2013","2013"
"AUDIT AUTHORITY","Empowered","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Empowered","Empowered","Dark Horse","Dark Horse Originals","2007","2026"
"AUDIT SERIES","Empowered","Empowered: Unchained","Dark Horse","Dark Horse Originals","2015","2015"
"AUDIT AUTHORITY","Ether","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Ether","Ether","Dark Horse","Dark Horse Originals","2016","2017"
"AUDIT SERIES","Ether","Ether: The Copper Golems","Dark Horse","Dark Horse Originals","2018","2018"
"AUDIT SERIES","Ether","Ether: The Disappearance of Violet Bell","Dark Horse","Dark Horse Originals","2019","2019"
"AUDIT AUTHORITY","Fear Agent","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Fear Agent","Fear Agent","Dark Horse","Dark Horse Originals","2007","2011"
"AUDIT SERIES","Fear Agent","Fear Agent: The Last Goodbye","Dark Horse","Dark Horse Originals","2007","2007"
"AUDIT SERIES","Fear Agent","Fear Agent: I Against I","Dark Horse","Dark Horse Originals","2008","2009"
"AUDIT AUTHORITY","Fight Club","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Fight Club","Fight Club 2","Dark Horse","Dark Horse Originals","2015","2016"
"AUDIT SERIES","Fight Club","Fight Club 3","Dark Horse","Dark Horse Originals","2019","2020"
"AUDIT AUTHORITY","Flaming Carrot","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Flaming Carrot","Flaming Carrot Comics","Dark Horse","Dark Horse Originals","1988","1994"
"AUDIT SERIES","Flaming Carrot","Flaming Carrot & Reid Fleming, World’s Toughest Milkman","Dark Horse","Dark Horse Originals","2002","2002"
"AUDIT AUTHORITY","Freaks of the Heartland","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","Freaks of the Heartland","Freaks of the Heartland","Dark Horse","Dark Horse Originals","2004","2005"
"AUDIT AUTHORITY","The Goon","","Dark Horse","Dark Horse Originals","",""
"AUDIT SERIES","The Goon","The Goon","Dark Horse","Dark Horse Originals","2003","2013"
"AUDIT SERIES","The Goon","The Goon: Once Upon a Hard Time","Dark Horse","Dark Horse Originals","2015","2015"
"AUDIT SERIES","The Goon","The Goon","Dark Horse","Dark Horse Originals","2019","2020"
"AUDIT AUTHORITY","Grendel","","Dark Horse","Maverick","",""
"AUDIT SERIES","Grendel","Grendel","Dark Horse","Maverick","1986","1990"
"AUDIT SERIES","Grendel","Grendel Tales","Dark Horse","Maverick","1993","1996"
"AUDIT SERIES","Grendel","Grendel: Devil’s Legacy","Dark Horse","Maverick","2000","2001"
"AUDIT SERIES","Grendel","Grendel: Red, White, and Black","Dark Horse","Maverick","2002","2003"
