change,id,title,old_parent,new_parent,publisher,type,publishing_line
"REPAIRED","EVT-00127","52","DC Universe","52","DC","Event",""
"ADDED","DCA-0085","Absolute Power","","","DC","Event",""
"REPAIRED","SER-01785","Absolute Power","DC Universe","Absolute Power","DC","Series",""
"REPAIRED","SER-01786","Absolute Power: Ground Zero","DC Universe","Absolute Power","DC","Series",""
"REPAIRED","SER-01787","Absolute Power: Origins","DC Universe","Absolute Power","DC","Series",""
"REPAIRED","SER-01788","Absolute Power: Super Son","DC Universe","Absolute Power","DC","Series",""
"REPAIRED","SER-01789","Absolute Power: Task Force VII","DC Universe","Absolute Power","DC","Series",""
"REPAIRED","SER-00173","Action Comics","Congorilla / Congo Bill","Superman","DC","Series",""
"REPAIRED","SER-00752","Action Comics","Supergirl","Superman","DC","Series",""
"REPAIRED","SER-00857","Action Comics","The Star-Spangled Kid & Stripesy","Superman","DC","Series",""
"REPAIRED","SER-00929","Action Comics Weekly","Vigilante","Superman","DC","Series",""
"REPAIRED","SER-00934","Action Comics Weekly","Vixen","Superman","DC","Series",""
"ADDED","DCA-0200","Adventure Comics","","","DC","Series",""
"REPAIRED","SER-00045","Adventure Comics","Aquaman","Adventure Comics","DC","Series",""
"REPAIRED","SER-00355","Adventure Comics","Hourman","Adventure Comics","DC","Series",""
"REPAIRED","SER-00433","Adventure Comics","Legion of Super-Heroes","Adventure Comics","DC","Series",""
"REPAIRED","SER-00465","Adventure Comics","Manhunter (Dan Richards)","Adventure Comics","DC","Series",""
"REPAIRED","SER-00636","Adventure Comics","Sandman (Wesley Dodds, Golden Age)","Adventure Comics","DC","Series",""
"REPAIRED","SER-00734","Adventure Comics","Starman","Adventure Comics","DC","Series",""
"ADDED","DCA-0001","Air","","","DC","Series","Vertigo"
"ADDED","DCS-0001","Air","","Air","DC","Series","Vertigo"
"REPAIRED","SER-01795","Alan Scott: The Green Lantern","DC Universe","Green Lantern","DC","Series",""
"ADDED","DCA-0201","All-American Comics","","","DC","Series",""
"REPAIRED","SER-00314","All-American Comics","Green Lantern","All-American Comics","DC","Series",""
"REPAIRED","SER-00638","All-American Comics","Sargon the Sorcerer","All-American Comics","DC","Series",""
"ADDED","DCA-0108","Ame-Comi Girls","","","DC","Series",""
"REPAIRED","SER-01444","Ame-Comi Girls","DC Universe","Ame-Comi Girls","DC","Series",""
"REPAIRED","CHR-00019","American Vampire","","","DC","Character","Black Label"
"REPAIRED","SER-01616","American Vampire 1976","DC Universe","American Vampire","DC","Series","Black Label"
"REPAIRED","SER-01602","Amethyst","DC Universe","Amethyst","DC","Series",""
"ADDED","DCS-0136","Aquaman: Andromeda","","Aquaman","DC","Series","Black Label"
"REPAIRED","SER-01550","Aquaman/Jabberjaw Special","DC Universe","Aquaman","DC","Series",""
"REPAIRED","SER-01663","Arkham City: The Order of the World","DC Universe","Batman","DC","Series",""
"ADDED","DCA-0002","Army@Love","","","DC","Series","Vertigo"
"ADDED","DCS-0002","Army@Love","","Army@Love","DC","Series","Vertigo"
"ADDED","DCA-0109","Arrow: Season 2.5","","","DC","Series",""
"REPAIRED","SER-01452","Arrow: Season 2.5","DC Universe","Arrow: Season 2.5","DC","Series",""
"REPAIRED","CHR-00030","Astro City","","","Image","Character","Vertigo"
"ADDED","DCS-0003","Astro City","","Astro City","DC","Series","Vertigo"
"ADDED","DCA-0047","Backlash","","","WildStorm","Series","WildStorm"
"ADDED","DCS-0063","Backlash","","Backlash","WildStorm","Series","WildStorm"
"ADDED","DCA-0039","Basketful of Heads","","","DC","Series","Hill House Comics"
"REPAIRED","SER-01617","Basketful of Heads","DC Universe","Basketful of Heads","DC","Series","Hill House Comics"
"REPAIRED","CHR-00039","Batman","","","DC","Character","Black Label"
"REPAIRED","SER-00594","Batman","Red Hood","Batman","DC","Series",""
"REPAIRED","SER-01710","Batman '89","DC Universe","Batman","DC","Series",""
"ADDED","DCS-0122","Batman & the Joker: The Deadly Duo","","Batman","DC","Series","Black Label"
"REPAIRED","SER-01606","Batman and the Maxx: Arkham Dreams","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01605","Batman vs. Ra's al Ghul","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-00084","Batman: Curse of the White Knight","Batman Black Label Line","Batman","DC","Series","Black Label"
"REPAIRED","SER-00085","Batman: Damned","Batman Black Label Line","Batman","DC","Series","Black Label"
"REPAIRED","SER-01852","Batman: Gotham by Gaslight – A League for Justice","DC Universe","Batman","DC","Series","Elseworlds"
"REPAIRED","SER-00086","Batman: Last Knight on Earth","Batman Black Label Line","Batman","DC","Series","Black Label"
"ADDED","DCS-0123","Batman: One Bad Day","","Batman","DC","Series","Black Label"
"REPAIRED","SER-01709","Batman: The Adventures Continue Season Two","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01708","Batman: The Audio Adventures","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-00248","Batman: The Dark Knight Returns","Elseworlds / Alternate Universe","Batman","DC","Series","Elseworlds"
"REPAIRED","SER-00249","Batman: The Dark Knight Strikes Again","Elseworlds / Alternate Universe","Batman","DC","Series","Elseworlds"
"REPAIRED","SER-00087","Batman: Three Jokers","Batman Black Label Line","Batman","DC","Series","Black Label"
"REPAIRED","SER-01714","Batman: Wayne Family Adventures","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-00088","Batman: White Knight","Batman Black Label Line","Batman","DC","Series","Black Label"
"REPAIRED","SER-01800","Batman/Dylan Dog","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01544","Batman/Elmer Fudd","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01713","Batman/Fortnite: Foundation","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01712","Batman/Fortnite: Zero Point","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01853","Batman/Green Arrow/The Question: Arcadia","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01798","Batman/Santa Claus: Silent Knight","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01799","Batman/Santa Claus: Silent Knight Returns","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01607","Batman/Teenage Mutant Ninja Turtles","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01542","Batman/Teenage Mutant Ninja Turtles II","DC Universe","Batman","DC","Series",""
"REPAIRED","SER-01543","Batman/Teenage Mutant Ninja Turtles III","DC Universe","Batman","DC","Series",""
"ADDED","DCA-0003","Bite Club","","","DC","Series","Vertigo"
"ADDED","DCS-0004","Bite Club","","Bite Club","DC","Series","Vertigo"
"ADDED","DCS-0005","Bite Club: Vampire Crime Unit","","Bite Club","DC","Series","Vertigo"
"REPAIRED","SER-01463","Bizarro","Superman","Bizarro","DC","Series",""
