Name,Kind,Action,Detail
"Magog","Character","Added primary authority","CHR-DCX-0001"
"Punchline","Character","Added primary authority","CHR-DCX-0002"
"Ragman","Character","Added primary authority","CHR-DCX-0003"
"Robin","Character","Added primary authority","CHR-DCX-0004"
"Trinity","Character","Added primary authority","CHR-DCX-0005"
"The Warlord","Character","Added primary authority","CHR-DCX-0006"
"Magog","Series","Added series","SER-DCX-0007 -> Magog"
"Punchline: The Gotham Game","Series","Added series","SER-DCX-0008 -> Punchline"
"Ragman","Series","Added series","SER-DCX-0009 -> Ragman"
"Ragman: Cry of the Dead","Series","Added series","SER-DCX-0010 -> Ragman"
"Ragman","Series","Already present","SER-DCX-0009"
"The Warlord","Series","Added series","SER-DCX-0011 -> The Warlord"
"Warlord","Series","Added series","SER-DCX-0012 -> The Warlord"
"Warlord","Series","Already present","SER-DCX-0012"
"100 Bullets","Character","Already present","CHR-00001"
"DC Universe","Character","Already present","REF-00021"
"52","Event","Added primary authority","EVT-DCX-0013"
"Absolute Universe (2024 relaunch)","Character","Already present","REF-00001"
"Congorilla / Congo Bill","Character","Already present","CHR-00089"
"Supergirl","Character","Already present","CHR-00392"
"Superman","Character","Already present","CHR-00393"
"The Star-Spangled Kid & Stripesy","Character","Already present","CHR-00445"
"Vigilante","Character","Already present","CHR-00480"
"Vixen","Character","Already present","CHR-00482"
"Adam Strange","Character","Already present","CHR-00006"
"Aquaman","Character","Already present","CHR-00025"
"Hourman","Character","Already present","CHR-00186"
"Legion of Super-Heroes","Character","Already present","TEM-00014"
"Manhunter (Dan Richards)","Character","Already present","CHR-00243"
"Sandman (Wesley Dodds, Golden Age)","Character","Already present","CHR-00343"
"Starman","Character","Already present","CHR-00384"
"Steel","Character","Already present","CHR-00386"
"Justice Society of America","Character","Already present","TEM-00013"
"Green Lantern","Character","Already present","CHR-00168"
"Sargon the Sorcerer","Character","Already present","CHR-00344"
"All-American Men of War","Character","Already present","EVT-00002"
"The Flash","Character","Already present","CHR-00415"
"Batman","Character","Already present","CHR-00039"
"Power Girl","Character","Already present","CHR-00302"
"All-Star Squadron","Character","Already present","TEM-00001"
"Jonah Hex","Character","Already present","CHR-00210"
"Wonder Woman","Character","Already present","CHR-00501"
"Ambush Bug","Character","Already present","CHR-00017"
"American Vampire","Character","Already present","CHR-00019"
"Animal Man","Character","Already present","CHR-00021"
"Looney Tunes / Animaniacs","Character","Already present","CHR-00231"
"Armageddon 2001","Character","Already present","EVT-00027"
"The Atom","Character","Already present","CHR-00406"
"The Authority","Character","Already present","CHR-00407"
"Aztek","Character","Already present","CHR-00031"
"Batgirl","Character","Already present","CHR-00038"
"Batgirls","Team","Added primary authority","TEM-DCX-0014"
"Red Hood","Character","Already present","CHR-00319"
"The Outsiders","Character","Already present","CHR-00431"
"Dark Nights: Metal","Event","Added primary authority","EVT-DCX-0015"
"Batman Black Label Line","Character","Already present","REF-00003"
"Bat-Family","Character","Already present","CHR-00037"
"Elseworlds / Alternate Universe","Character","Already present","REF-00005"
"The Killing Joke","Character","Already present","CHR-00424"
"World's Finest (Batman & Superman)","Character","Already present","CHR-00503"
"Batwoman","Character","Already present","CHR-00041"
"Watchmen Universe","Character","Already present","REF-00018"
"Birds of Prey","Character","Already present","TEM-00003"
"Black Adam","Character","Added primary authority","CHR-DCX-0016"
"Black Canary","Character","Already present","CHR-00049"
"Black Lightning","Character","Already present","CHR-00052"
"Black Manta","Character","Added primary authority","CHR-DCX-0017"
"Justice League / Universe-Wide","Character","Already present","TEM-00010"
"Blackhawk","Character","Already present","CHR-00056"
"Vertigo / Black Label","Character","Already present","REF-00022"
"Bloodlines","Character","Already present","EVT-00028"
"Blue Beetle","Character","Already present","CHR-00063"
"The Question","Character","Already present","CHR-00434"
"Sandman","Character","Already present","CHR-00342"
"The Books of Magic","Character","Already present","CHR-00408"
"Booster Gold","Character","Already present","CHR-00065"
"Liberty Belle","Character","Already present","CHR-00224"
"Metamorpho","Character","Already present","CHR-00251"
"Suicide Squad","Character","Already present","TEM-00016"
"Brightest Day","Event","Added primary authority","EVT-DCX-0018"
"Bugs Bunny","Character","Already present","CHR-00069"
"Captain Atom","Character","Already present","CHR-00072"
"Nightshade","Character","Already present","CHR-00277"
"Shazam / Captain Marvel","Character","Already present","CHR-00362"
"Catwoman","Character","Already present","CHR-00077"
"Challengers of the Unknown","Character","Already present","CHR-00079"
"Impact Comics Imprint (Archie superheroes revival)","Character","Already present","REF-00007"
"John Constantine","Character","Already present","CHR-00208"
"Crisis Saga","Character","Already present","EVT-00004"
"Convergence","Event","Added primary authority","EVT-DCX-0019"
"Countdown to Final Crisis","Event","Added primary authority","EVT-DCX-0020"
"Black Condor","Character","Already present","CHR-00050"
"Cyborg","Character","Already present","CHR-00095"
"DC Super Hero Girls","Character","Already present","CHR-00107"
"Masters of the Universe","Character","Already present","REF-00011"
"Rebirth Era","Character","Already present","EVT-00012"
"DCeased","Character","Already present","CHR-00108"
"Superman Family","Character","Already present","CHR-00394"
"Deathstroke","Character","Already present","CHR-00112"
"Etrigan the Demon","Character","Already present","CHR-00137"
"Air Wave","Character","Already present","CHR-00009"
"Martian Manhunter","Character","Already present","CHR-00245"
"DMZ","Character","Already present","CHR-00120"
"Doctor Fate","Character","Already present","CHR-00122"
"Doll Man","Character","Already present","CHR-00126"
"Doom Patrol","Character","Already present","TEM-00006"
"Elongated Man","Character","Already present","CHR-00134"
"Fables","Character","Already present","CHR-00141"
"The Peacemaker","Character","Already present","CHR-00432"
"Final Crisis","Event","Added primary authority","EVT-DCX-0021"
"Firestorm","Character","Already present","CHR-00148"
"Hawkman","Character","Already present","CHR-00178"
"The Whip","Character","Already present","CHR-00452"
"Impulse / Kid Flash (Bart Allen)","Character","Already present","CHR-00194"
"Flashpoint","Event","Added primary authority","EVT-DCX-0022"
"Forever Evil","Event","Added primary authority","EVT-DCX-0023"
"Freedom Fighters","Character","Already present","CHR-00150"
"Future State","Event","Added primary authority","EVT-DCX-0024"
"G.I. Combat","Character","Already present","CHR-00152"
"Gen13","Character","Already present","CHR-00157"
"DC Mystery Anthologies","Character","Already present","CHR-00106"
"Nightwing","Character","Already present","CHR-00278"
"Green Arrow","Character","Already present","CHR-00167"
"Grifter","Character","Already present","CHR-00170"
"Hardware","Character","Already present","EVT-00008"
"Harley Quinn","Character","Added primary authority","CHR-DCX-0025"
"Hawkgirl","Character","Added primary authority","CHR-DCX-0026"
"Swamp Thing","Character","Already present","CHR-00395"
"Huntress","Character","Already present","CHR-00189"
"Icon","Character","Already present","CHR-00191"
"Icon and Rocket","Character","Already present","CHR-00192"
"Mister Miracle / New Gods","Character","Already present","CHR-00260"
"Infinity, Inc.","Character","Already present","CHR-00197"
"The Invisibles","Character","Already present","CHR-00423"
"iZombie","Character","Already present","CHR-00204"
"Justice League","Character","Already present","TEM-00009"
"Justice League Dark","Character","Already present","TEM-00011"
"Justice League Odyssey","Character","Already present","TEM-00012"
"Kamandi","Character","Already present","CHR-00216"
"Katana","Character","Added primary authority","CHR-DCX-0027"
"Kobra","Character","Already present","CHR-00220"
"America's Best Comics (Alan Moore line)","Character","Already present","REF-00002"
"Lobo","Character","Added primary authority","CHR-DCX-0028"
"Lucifer","Character","Already present","CHR-00234"
"Manhunter","Character","Already present","CHR-00242"
"Metal Men","Character","Already present","CHR-00250"
"Midnighter & Apollo","Character","Already present","CHR-00254"
"Mister Terrific","Character","Added primary authority","CHR-DCX-0029"
"Johnny Quick","Character","Already present","CHR-00209"
"The Spectre","Character","Already present","CHR-00443"
"The Multiversity","Character","Already present","CHR-00429"
"Uncle Sam","Character","Already present","CHR-00471"
"Robin / Teen Titans","Character","Already present","TEM-00015"
"The Nice House on the Lake","Character","Already present","CHR-00430"
"Northlanders","Character","Already present","CHR-00284"
"OMAC","Character","Already present","CHR-00289"
"Sgt. Rock / Easy Company","Character","Already present","CHR-00356"
"Peacemaker","Character","Added primary authority","CHR-DCX-0030"
"Peter Cannon, Thunderbolt","Character","Already present","CHR-00294"
"Phantom Lady","Character","Already present","CHR-00295"
"The Phantom","Character","Already present","CHR-00433"
"Planetary","Character","Already present","CHR-00297"
"Plastic Man","Character","Already present","CHR-00298"
"Poison Ivy","Character","Already present","CHR-00299"
"The Human Bomb","Character","Already present","CHR-00419"
"Preacher","Character","Already present","CHR-00304"
"Prez","Character","Already present","CHR-00306"
"Raven","Character","Added primary authority","CHR-DCX-0031"
"The Ray","Character","Already present","CHR-00435"
"Rip Hunter, Time Master","Character","Already present","CHR-00327"
"Rorschach / Watchmen Legacy","Character","Already present","CHR-00336"
"Scalped","Character","Already present","CHR-00346"
"Scooby-Doo, Where Are You!","Character","Already present","CHR-00348"
"Sea Devils","Character","Already present","CHR-00350"
"Secret Six","Character","Already present","CHR-00351"
"Mister Terrific (Golden Age)","Character","Already present","CHR-00261"
"Wildcat","Character","Already present","CHR-00495"
"Shade, the Changing Man","Character","Already present","CHR-00357"
"Shadowpact","Character","Already present","CHR-00360"
"The Ray (Golden Age)","Character","Already present","CHR-00436"
"Judomaster","Character","Already present","CHR-00213"
"Robotman (Golden Age)","Character","Already present","CHR-00330"
"The Guardian & the Newsboy Legion","Character","Already present","TEM-00017"
"TNT and Dan the Dyna-Mite","Character","Already present","CHR-00458"
"Star Spangled War Stories","Character","Already present","EVT-00015"
"Star Trek","Character","Already present","REF-00031"
"Starfire","Character","Added primary authority","CHR-DCX-0032"
"Static","Character","Already present","CHR-00385"
"Steel, the Indestructible Man (Golden Age)","Character","Already present","CHR-00387"
"Stormwatch","Character","Already present","CHR-00389"
"Wonder Twins","Character","Already present","CHR-00500"
"Superboy","Character","Added primary authority","CHR-DCX-0033"
"Superman Black Label Line","Character","Already present","REF-00014"
"Sweet Tooth","Character","Already present","CHR-00396"
"Teen Titans","Character","Already present","REF-00020"
"Tarzan","Character","Already present","CHR-00398"
"Task Force Z","Character","Already present","CHR-00399"
"The Terrifics","Character","Already present","CHR-00447"
"Justice Society","Character","Already present","REF-00019"
"Tom and Jerry","Character","Already present","CHR-00459"
"Transmetropolitan","Character","Already present","CHR-00463"
"The Unwritten","Character","Already present","CHR-00449"
"V for Vendetta","Character","Already present","CHR-00475"
"Watchmen (Charlton-derived cast)","Character","Already present","CHR-00488"
"Weird War Tales","Character","Already present","EVT-00023"
"WildC.A.T.s","Character","Already present","CHR-00494"
"Wonder Woman: Dead Earth","Character","Already present","CHR-00502"
"World of Warcraft","Character","Already present","EVT-00024"
"Xombi","Character","Already present","CHR-00509"
"Y: The Last Man","Character","Already present","CHR-00510"
"Young Justice","Character","Already present","CHR-00511"
"Zatanna","Character","Already present","CHR-00513"
"Magog","Character","Already present","CHR-DCX-0001"
"Punchline","Character","Already present","CHR-DCX-0002"
"Ragman","Character","Already present","CHR-DCX-0003"
"The Warlord","Character","Already present","CHR-DCX-0006"
"Alan Scott","Character","Added primary authority","CHR-DCX-0034"
"Alfred Pennyworth","Character","Added primary authority","CHR-DCX-0035"
"Amanda Waller","Character","Added primary authority","CHR-DCX-0036"
"Amethyst","Character","Added primary authority","CHR-DCX-0037"
"Anarky","Character","Added primary authority","CHR-DCX-0038"
"Anti-Monitor","Character","Added primary authority","CHR-DCX-0039"
"Antiope","Character","Added primary authority","CHR-DCX-0040"
"Ares","Character","Added primary authority","CHR-DCX-0041"
"Arsenal","Character","Added primary authority","CHR-DCX-0042"
"Atlanna","Character","Added primary authority","CHR-DCX-0043"
"Atom","Character","Added primary authority","CHR-DCX-0044"
"Atom Smasher","Character","Added primary authority","CHR-DCX-0045"
"Atrocitus","Character","Added primary authority","CHR-DCX-0046"
"Bane","Character","Added primary authority","CHR-DCX-0047"
"Beast Boy","Character","Added primary authority","CHR-DCX-0048"
"Big Barda","Character","Added primary authority","CHR-DCX-0049"
"Bizarro","Character","Added primary authority","CHR-DCX-0050"
"Black Adam","Character","Already present","CHR-DCX-0016"
"Black Mask","Character","Added primary authority","CHR-DCX-0051"
"Black Manta","Character","Already present","CHR-DCX-0017"
"Blackguard","Character","Added primary authority","CHR-DCX-0052"
"Bloodsport","Character","Added primary authority","CHR-DCX-0053"
"Brainiac","Character","Added primary authority","CHR-DCX-0054"
"Bumblebee","Character","Added primary authority","CHR-DCX-0055"
"Calendar Man","Character","Added primary authority","CHR-DCX-0056"
"Captain Boomerang","Character","Added primary authority","CHR-DCX-0057"
"Captain Cold","Character","Added primary authority","CHR-DCX-0058"
"Captain Marvel Jr.","Character","Added primary authority","CHR-DCX-0059"
"Carmine Falcone","Character","Added primary authority","CHR-DCX-0060"
"Cassandra Cain","Character","Added primary authority","CHR-DCX-0061"
"Cheshire","Character","Added primary authority","CHR-DCX-0062"
"Clayface","Character","Added primary authority","CHR-DCX-0063"
"Creature Commandos","Team","Added primary authority","TEM-DCX-0064"
"Cyclone","Character","Added primary authority","CHR-DCX-0065"
"Damian Wayne","Character","Added primary authority","CHR-DCX-0066"
"Damien Darhk","Character","Added primary authority","CHR-DCX-0067"
"Darkseid","Character","Added primary authority","CHR-DCX-0068"
"Dead Boy Detectives","Team","Added primary authority","TEM-DCX-0069"
"Deadman","Character","Added primary authority","CHR-DCX-0070"
"Deadshot","Character","Added primary authority","CHR-DCX-0071"
"Deimos","Character","Added primary authority","CHR-DCX-0072"
"Doctor Cyber","Character","Added primary authority","CHR-DCX-0073"
"Doctor Psycho","Character","Added primary authority","CHR-DCX-0074"
"Doctor Sivana","Character","Added primary authority","CHR-DCX-0075"
"Donna Troy","Character","Added primary authority","CHR-DCX-0076"
"Doomsday","Character","Added primary authority","CHR-DCX-0077"
"Dreamer","Character","Added primary authority","CHR-DCX-0078"
"Duke of Deception","Character","Added primary authority","CHR-DCX-0079"
"El Diablo","Character","Added primary authority","CHR-DCX-0080"
"Enchantress","Character","Added primary authority","CHR-DCX-0081"
"Engineer","Character","Added primary authority","CHR-DCX-0082"
"Etta Candy","Character","Added primary authority","CHR-DCX-0083"
"Eve Coffin","Character","Added primary authority","CHR-DCX-0084"
"FBP: Federal Bureau of Physics","Character","Added primary authority","CHR-DCX-0085"
"Galaxy","Character","Added primary authority","CHR-DCX-0086"
"Giganta","Character","Added primary authority","CHR-DCX-0087"
"Gorilla Grodd","Character","Added primary authority","CHR-DCX-0088"
"Granny Goodness","Character","Added primary authority","CHR-DCX-0089"
"Green Lantern Corps","Team","Added primary authority","TEM-DCX-0090"
"Guy Gardner","Character","Added primary authority","CHR-DCX-0091"
"H.I.V.E.","Team","Added primary authority","TEM-DCX-0092"
"Harbinger","Character","Already present","CHR-00175"
"Harley Quinn","Character","Already present","CHR-DCX-0025"
"Harvey Bullock","Character","Added primary authority","CHR-DCX-0093"
"Hawk and Dove","Character","Added primary authority","CHR-DCX-0094"
"Hawkgirl","Character","Already present","CHR-DCX-0026"
"Heat Wave","Character","Added primary authority","CHR-DCX-0095"
"Hinterkind","Character","Added primary authority","CHR-DCX-0096"
"Hippolyta","Character","Added primary authority","CHR-DCX-0097"
"Hush","Character","Added primary authority","CHR-DCX-0098"
"Iris West","Character","Added primary authority","CHR-DCX-0099"
"Jackson Hyde","Character","Added primary authority","CHR-DCX-0100"
"James Gordon","Character","Added primary authority","CHR-DCX-0101"
"Javelin","Character","Added primary authority","CHR-DCX-0102"
"Jay Garrick","Character","Added primary authority","CHR-DCX-0103"
"Jesse Custer","Character","Added primary authority","CHR-DCX-0104"
"Jessica Cruz","Character","Added primary authority","CHR-DCX-0105"
"Jimmy Olsen","Character","Added primary authority","CHR-DCX-0106"
"John Stewart","Character","Added primary authority","CHR-DCX-0107"
"Jon Kent","Character","Added primary authority","CHR-DCX-0108"
"Katana","Character","Already present","CHR-DCX-0027"
"Kid Flash","Character","Added primary authority","CHR-DCX-0109"
"Killer Croc","Character","Added primary authority","CHR-DCX-0110"
"Killer Frost","Character","Added primary authority","CHR-DCX-0111"
"King Shark","Character","Added primary authority","CHR-DCX-0112"
"Krypto","Character","Added primary authority","CHR-DCX-0113"
"Lady Shiva","Character","Added primary authority","CHR-DCX-0114"
"Lex Luthor","Character","Added primary authority","CHR-DCX-0115"
"Lightning","Character","Added primary authority","CHR-DCX-0116"
"Lobo","Character","Already present","CHR-DCX-0028"
"Lois Lane","Character","Added primary authority","CHR-DCX-0117"
"Lucius Fox","Character","Added primary authority","CHR-DCX-0118"
"Mary Bromfield","Character","Added primary authority","CHR-DCX-0119"
"Maxwell Lord","Character","Added primary authority","CHR-DCX-0120"
"Mera","Character","Added primary authority","CHR-DCX-0121"
"Mister Freeze","Character","Added primary authority","CHR-DCX-0122"
"Mister Miracle","Character","Added primary authority","CHR-DCX-0123"
"Mister Terrific","Character","Already present","CHR-DCX-0029"
"Mongal","Character","Added primary authority","CHR-DCX-0124"
"Monitor","Character","Added primary authority","CHR-DCX-0125"
"Morpheus","Character","Added primary authority","CHR-DCX-0126"
"Nereus","Character","Added primary authority","CHR-DCX-0127"
"New Gods","Team","Added primary authority","TEM-DCX-0128"
"Nuidis Vulko","Character","Added primary authority","CHR-DCX-0129"
"O.M.A.C.","Character","Added primary authority","CHR-DCX-0130"
"Ocean Master","Character","Added primary authority","CHR-DCX-0131"
"Pandora","Character","Added primary authority","CHR-DCX-0132"
"Peacemaker","Character","Already present","CHR-DCX-0030"
"Penguin","Character","Added primary authority","CHR-DCX-0133"
"Perry White","Character","Added primary authority","CHR-DCX-0134"
"Polka-Dot Man","Character","Added primary authority","CHR-DCX-0135"
"Psycho-Pirate","Character","Added primary authority","CHR-DCX-0136"
"Ra's al Ghul","Character","Added primary authority","CHR-DCX-0137"
"Ratcatcher","Character","Added primary authority","CHR-DCX-0138"
"Raven","Character","Already present","CHR-DCX-0031"
"Red Arrow","Character","Added primary authority","CHR-DCX-0139"
"Renee Montoya","Character","Added primary authority","CHR-DCX-0140"
"Reverse-Flash","Character","Added primary authority","CHR-DCX-0141"
"Rick Flag","Character","Added primary authority","CHR-DCX-0142"
"Riddler","Character","Added primary authority","CHR-DCX-0143"
"Robin","Character","Already present","CHR-DCX-0004"
"Sal Maroni","Character","Added primary authority","CHR-DCX-0144"
"Savant","Character","Added primary authority","CHR-DCX-0145"
"Scarecrow","Character","Added primary authority","CHR-DCX-0146"
"Seven Deadly Sins","Team","Added primary authority","TEM-DCX-0147"
"Shazam Family","Team","Added primary authority","TEM-DCX-0148"
"Signal","Character","Added primary authority","CHR-DCX-0149"
"Simon Baz","Character","Added primary authority","CHR-DCX-0150"
"Simon Stagg","Character","Added primary authority","CHR-DCX-0151"
"Sinestro","Character","Added primary authority","CHR-DCX-0152"
"Solomon Grundy","Character","Added primary authority","CHR-DCX-0153"
"Starfire","Character","Already present","CHR-DCX-0032"
"Stargirl","Character","Added primary authority","CHR-DCX-0154"
"Starro","Character","Added primary authority","CHR-DCX-0155"
"Stephanie Brown","Character","Added primary authority","CHR-DCX-0156"
"Stephen Shin","Character","Added primary authority","CHR-DCX-0157"
"Steppenwolf","Character","Added primary authority","CHR-DCX-0158"
"Steve Trevor","Character","Added primary authority","CHR-DCX-0159"
"Superboy","Character","Already present","CHR-DCX-0033"
"T.D.K.","Character","Added primary authority","CHR-DCX-0160"
"Talia al Ghul","Character","Added primary authority","CHR-DCX-0161"
"Tawky Tawny","Character","Added primary authority","CHR-DCX-0162"
"Telos","Character","Added primary authority","CHR-DCX-0163"
"The Cheetah","Character","Added primary authority","CHR-DCX-0164"
"The Joker","Character","Added primary authority","CHR-DCX-0165"
"The Phantom Stranger","Character","Added primary authority","CHR-DCX-0166"
"Thinker","Character","Added primary authority","CHR-DCX-0167"
"Thomas Curry","Character","Added primary authority","CHR-DCX-0168"
"Thunder","Character","Added primary authority","CHR-DCX-0169"
"Tim Drake","Character","Added primary authority","CHR-DCX-0170"
"Titans","Team","Added primary authority","TEM-DCX-0171"
"Trigon","Character","Added primary authority","CHR-DCX-0172"
"Two-Face","Character","Added primary authority","CHR-DCX-0173"
"Vandal Savage","Character","Added primary authority","CHR-DCX-0174"
"Veronica Cale","Character","Added primary authority","CHR-DCX-0175"
"Vibe","Character","Added primary authority","CHR-DCX-0176"
"Victor Zsasz","Character","Added primary authority","CHR-DCX-0177"
"Weasel","Character","Added primary authority","CHR-DCX-0178"
"Wizard Shazam","Character","Added primary authority","CHR-DCX-0179"
"Wonder Girl","Character","Added primary authority","CHR-DCX-0180"
"Zod","Character","Added primary authority","CHR-DCX-0181"
"Zoom","Character","Added primary authority","CHR-DCX-0182"
"Amethyst, Princess of Gemworld","Series","Added primary authority","SER-DCX-0183"
"Arak, Son of Thunder","Series","Added primary authority","SER-DCX-0184"
"Arion, Lord of Atlantis","Series","Added primary authority","SER-DCX-0185"
"Bat Lash","Series","Added primary authority","SER-DCX-0186"
"Beowulf: Dragon Slayer","Series","Added primary authority","SER-DCX-0187"
"Black Orchid","Series","Added primary authority","SER-DCX-0188"
"Blue Devil","Series","Added primary authority","SER-DCX-0189"
"Captain Carrot and His Amazing Zoo Crew!","Series","Added primary authority","SER-DCX-0190"
"Captain Comet","Series","Added primary authority","SER-DCX-0191"
"Chase","Series","Added primary authority","SER-DCX-0192"
"Chronos","Series","Added primary authority","SER-DCX-0193"
"Claw the Unconquered","Series","Added primary authority","SER-DCX-0194"
"Doorway to Nightmare","Series","Added primary authority","SER-DCX-0195"
"Ghosts","Anthology","Added primary authority","SER-DCX-0196"
"Gotham Central","Series","Added primary authority","SER-DCX-0197"
"House of Mystery","Anthology","Added primary authority","SER-DCX-0198"
"House of Secrets","Anthology","Added primary authority","SER-DCX-0199"
"I...Vampire","Series","Added primary authority","SER-DCX-0200"
"L.E.G.I.O.N.","Series","Added primary authority","SER-DCX-0201"
"Madame Xanadu","Series","Added primary authority","SER-DCX-0202"
"Major Bummer","Series","Added primary authority","SER-DCX-0203"
"Man-Bat","Series","Added primary authority","SER-DCX-0204"
"Mazing Man","Series","Added primary authority","SER-DCX-0205"
"Primal Force","Series","Added primary authority","SER-DCX-0206"
"R.E.B.E.L.S.","Series","Added primary authority","SER-DCX-0207"
"Resurrection Man","Series","Added primary authority","SER-DCX-0208"
"Scare Tactics","Series","Added primary authority","SER-DCX-0209"
"Slash Maraud","Series","Added primary authority","SER-DCX-0210"
"Sovereign Seven","Series","Added primary authority","SER-DCX-0211"
"Stalker","Series","Added primary authority","SER-DCX-0212"
"Strange Adventures","Anthology","Added primary authority","SER-DCX-0213"
"Sword of Sorcery","Series","Added primary authority","SER-DCX-0214"
"Tailgunner Jo","Series","Added primary authority","SER-DCX-0215"
"The Creeper","Series","Added primary authority","SER-DCX-0216"
"The Demon","Series","Added primary authority","SER-DCX-0217"
"The Heckler","Series","Added primary authority","SER-DCX-0218"
"The Omega Men","Series","Added primary authority","SER-DCX-0219"
"Thriller","Series","Added primary authority","SER-DCX-0220"
"Unknown Soldier","Series","Added primary authority","SER-DCX-0221"
"Vext","Series","Added primary authority","SER-DCX-0222"
"Weird Mystery Tales","Anthology","Added primary authority","SER-DCX-0223"
"Xero","Series","Added primary authority","SER-DCX-0224"
"Young Heroes in Love","Series","Added primary authority","SER-DCX-0225"
"Robin","Series","Reparented","SER-00606 -> Robin"
"Robin: Son of Batman","Series","Reparented","SER-01473 -> Robin"
"We Are Robin","Series","Reparented","SER-01478 -> Robin"
