Era,Series Title,Parent Authority,Result,Authority ID,Resolved Authority ID,Publishing Era,Status
New 52,Aquaman and the Others,Aquaman,Added,SER-01346,SER-01346,The New 52,Assigned
New 52,Captain Atom,Captain Atom,Already present,,SER-00144,The New 52,Assigned
New 52,DC Universe Presents,DC Universe,Added,SER-01347,SER-01347,The New 52,Assigned
New 52,Earth 2,Justice Society of America,Already present,,SER-00422,The New 52,Assigned
New 52,The Fury of Firestorm: The Nuclear Men,Firestorm,Added,SER-01348,SER-01348,The New 52,Assigned
New 52,Justice League 3000,Justice League,Already present,,SER-01051,The New 52,Assigned
New 52,Justice League International,Justice League,Already present,,SER-00416,The New 52,Assigned
New 52,Justice League of America's Vibe,Justice League,Added,SER-01349,SER-01349,The New 52,Assigned
New 52,Justice League of America,Justice League,Already present,,SER-00417,The New 52,Assigned
New 52,Justice League United,Justice League,Added,SER-01350,SER-01350,The New 52,Assigned
New 52,Katana,Katana,Added,SER-01351,SER-01351,The New 52,Assigned
New 52,Mister Terrific,Mister Terrific,Added,SER-01352,SER-01352,The New 52,Assigned
New 52,The Savage Hawkman,Hawkman,Added,SER-01353,SER-01353,The New 52,Assigned
New 52,Secret Origins,DC Universe,Added,SER-01354,SER-01354,The New 52,Assigned
New 52,Worlds' Finest,Justice Society of America,Added,SER-01355,SER-01355,The New 52,Assigned
New 52,Arkham Manor,Batman,Added,SER-01356,SER-01356,The New 52,Assigned
New 52,Batman and Robin,Batman,Added,SER-01357,SER-01357,The New 52,Assigned
New 52,"Batman, Incorporated",Batman,Already present,,SER-01014,The New 52,Assigned
New 52,Batwing,Batman,Added,SER-01358,SER-01358,The New 52,Assigned
New 52,Gotham Academy,Batman,Added,SER-01359,SER-01359,The New 52,Assigned
New 52,Gotham by Midnight,Batman,Added,SER-01360,SER-01360,The New 52,Assigned
New 52,Grayson,Nightwing,Added,SER-01361,SER-01361,The New 52,Assigned
New 52,Harley Quinn,Harley Quinn,Added,SER-01362,SER-01362,The New 52,Assigned
New 52,Talon,Batman,Added,SER-01363,SER-01363,The New 52,Assigned
New 52,Superboy,Superboy,Added,SER-01364,SER-01364,The New 52,Assigned
New 52,Green Lantern Corps,Green Lantern,Already present,,SER-00316,The New 52,Assigned
New 52,Green Lantern: New Guardians,Green Lantern,Already present,,SER-01041,The New 52,Assigned
New 52,Larfleeze,Green Lantern,Already present,,SER-01045,The New 52,Assigned
New 52,Red Lanterns,Green Lantern,Already present,,SER-01043,The New 52,Assigned
New 52,Sinestro,Green Lantern,Already present,,SER-01044,The New 52,Assigned
New 52,Blue Beetle,Blue Beetle,Already present,,SER-00124,The New 52,Assigned
New 52,Hawk & Dove,DC Universe,Added,SER-01365,SER-01365,The New 52,Assigned
New 52,Legion Lost,Legion of Super-Heroes,Added,SER-01366,SER-01366,The New 52,Assigned
New 52,Static Shock,Static,Already present,,SER-00738,The New 52,Assigned
New 52,Teen Titans,Robin / Teen Titans,Already present,,SER-00607,The New 52,Assigned
New 52,The Ravagers,Robin / Teen Titans,Added,SER-01367,SER-01367,The New 52,Assigned
New 52,All-Star Western,Jonah Hex,Already present,,SER-00403,The New 52,Assigned
New 52,Blackhawks,Blackhawk,Added,SER-01368,SER-01368,The New 52,Assigned
New 52,Deathstroke,Deathstroke,Already present,,SER-00200,The New 52,Assigned
New 52,G.I. Combat,G.I. Combat,Already present,,SER-00286,The New 52,Assigned
New 52,Grifter,Grifter,Already present,,SER-00321,The New 52,Assigned
New 52,Infinity Man and the Forever People,Mister Miracle / New Gods,Added,SER-01369,SER-01369,The New 52,Assigned
New 52,Lobo,Lobo,Added,SER-01370,SER-01370,The New 52,Assigned
New 52,Men of War,DC Universe,Added,SER-01371,SER-01371,The New 52,Assigned
New 52,New Suicide Squad,Suicide Squad,Already present,,SER-00749,The New 52,Assigned
New 52,O.M.A.C.,OMAC,Already present,,SER-00552,The New 52,Assigned
New 52,Secret Six,Secret Six,Already present,,SER-00648,The New 52,Assigned
New 52,Star-Spangled War Stories Featuring G.I. Zombie,G.I. Combat,Added,SER-01372,SER-01372,The New 52,Assigned
New 52,Stormwatch,Stormwatch,Already present,,SER-00746,The New 52,Assigned
New 52,Suicide Squad,Suicide Squad,Already present,,SER-00750,The New 52,Assigned
New 52,Team 7,DC Universe,Added,SER-01373,SER-01373,The New 52,Assigned
New 52,Threshold,DC Universe,Added,SER-01374,SER-01374,The New 52,Assigned
New 52,Voodoo,DC Universe,Added,SER-01375,SER-01375,The New 52,Assigned
New 52,Animal Man,Animal Man,Already present,,SER-00040,The New 52,Assigned
New 52,Constantine,John Constantine,Added,SER-01376,SER-01376,The New 52,Assigned
New 52,Demon Knights,Etrigan the Demon,Added,SER-01377,SER-01377,The New 52,Assigned
New 52,Dial H,DC Universe,Added,SER-01378,SER-01378,The New 52,Assigned
New 52,"Frankenstein, Agent of S.H.A.D.E.",DC Universe,Added,SER-01379,SER-01379,The New 52,Assigned
New 52,"I, Vampire",DC Universe,Added,SER-01380,SER-01380,The New 52,Assigned
New 52,Justice League Dark,Justice League Dark,Already present,,SER-00418,The New 52,Assigned
New 52,Resurrection Man,DC Universe,Added,SER-01381,SER-01381,The New 52,Assigned
New 52,Swamp Thing,Swamp Thing,Already present,,SER-00770,The New 52,Assigned
New 52,Sword of Sorcery,DC Universe,Added,SER-01382,SER-01382,The New 52,Assigned
New 52,Trinity of Sin,DC Universe,Added,SER-01383,SER-01383,The New 52,Assigned
New 52,Trinity of Sin: The Phantom Stranger,DC Universe,Added,SER-01384,SER-01384,The New 52,Assigned
New 52,Trinity of Sin: Pandora,DC Universe,Added,SER-01385,SER-01385,The New 52,Assigned
New 52,The Movement,DC Universe,Added,SER-01386,SER-01386,The New 52,Assigned
New 52,The Green Team: Teen Trillionaires,DC Universe,Added,SER-01387,SER-01387,The New 52,Assigned
New 52,Forever Evil,Forever Evil,Added,SER-01388,SER-01388,The New 52,Assigned
New 52,Forever Evil: A.R.G.U.S.,Forever Evil,Added,SER-01389,SER-01389,The New 52,Assigned
New 52,Forever Evil: Arkham War,Forever Evil,Added,SER-01390,SER-01390,The New 52,Assigned
New 52,Forever Evil: Rogues Rebellion,Forever Evil,Added,SER-01391,SER-01391,The New 52,Assigned
New 52,Convergence,Convergence,Added,SER-01392,SER-01392,The New 52,Assigned
New 52,Convergence: The Atom,Convergence,Added,SER-01393,SER-01393,The New 52,Assigned
New 52,Convergence: Batgirl,Convergence,Added,SER-01394,SER-01394,The New 52,Assigned
New 52,Convergence: Batman and Robin,Convergence,Added,SER-01395,SER-01395,The New 52,Assigned
New 52,Convergence: Batman and the Outsiders,Convergence,Added,SER-01396,SER-01396,The New 52,Assigned
New 52,Convergence: Batman: Shadow of the Bat,Convergence,Added,SER-01397,SER-01397,The New 52,Assigned
New 52,Convergence: Blue Beetle,Convergence,Added,SER-01398,SER-01398,The New 52,Assigned
New 52,Convergence: Booster Gold,Convergence,Added,SER-01399,SER-01399,The New 52,Assigned
New 52,Convergence: Catwoman,Convergence,Added,SER-01400,SER-01400,The New 52,Assigned
New 52,Convergence: Crime Syndicate,Convergence,Added,SER-01401,SER-01401,The New 52,Assigned
New 52,Convergence: Detective Comics,Convergence,Added,SER-01402,SER-01402,The New 52,Assigned
New 52,Convergence: Green Arrow,Convergence,Added,SER-01403,SER-01403,The New 52,Assigned
New 52,Convergence: Green Lantern Corps,Convergence,Added,SER-01404,SER-01404,The New 52,Assigned
New 52,Convergence: Harley Quinn,Convergence,Added,SER-01405,SER-01405,The New 52,Assigned
New 52,Convergence: Hawkman,Convergence,Added,SER-01406,SER-01406,The New 52,Assigned
New 52,Convergence: Infinity Inc.,Convergence,Added,SER-01407,SER-01407,The New 52,Assigned
New 52,Convergence: Justice League,Convergence,Added,SER-01408,SER-01408,The New 52,Assigned
New 52,Convergence: Justice League America,Convergence,Added,SER-01409,SER-01409,The New 52,Assigned
New 52,Convergence: Justice League International,Convergence,Added,SER-01410,SER-01410,The New 52,Assigned
New 52,Convergence: Nightwing/Oracle,Convergence,Added,SER-01411,SER-01411,The New 52,Assigned
New 52,Convergence: Plastic Man and the Freedom Fighters,Convergence,Added,SER-01412,SER-01412,The New 52,Assigned
