"Authority title","Year","Audit result","Authority ID","Type","Parent authority","Publishing era"
"Crisis on Infinite Earths","1985","Already present","EVT-00062","Event","Crisis Saga",""
"Legends","1986","Already present","EVT-00030","Event","",""
"Millennium","1988","Already present","EVT-00031","Event","",""
"Invasion!","1988","Already present","EVT-00029","Event","",""
"Cosmic Odyssey","1988","Added","EVT-00108","Event","DC Universe",""
"Armageddon 2001","1991","Already present","EVT-00027","Event","",""
"Armageddon: The Alien Agenda","1991","Added","EVT-00109","Event","Armageddon 2001",""
"Armageddon: Inferno","1992","Added","EVT-00110","Event","Armageddon 2001",""
"War of the Gods","1991","Added","EVT-00111","Event","DC Universe",""
"Eclipso: The Darkness Within","1992","Added","EVT-00112","Event","DC Universe",""
"Bloodlines","1993","Already present","EVT-00028","Event","",""
"Bloodbath","1993","Added","EVT-00113","Event","Bloodlines",""
"Zero Hour: Crisis in Time","1994","Already present","EVT-00067","Event","Crisis Saga",""
"Underworld Unleashed","1995","Added","EVT-00114","Event","DC Universe",""
"The Final Night","1996","Added","EVT-00115","Event","DC Universe",""
"Genesis","1997","Added","EVT-00116","Event","DC Universe",""
"DC One Million","1998","Added","EVT-00117","Event","DC Universe",""
"Day of Judgment","1999","Added","EVT-00118","Event","DC Universe",""
"Sins of Youth","2000","Added","EVT-00119","Event","DC Universe",""
"Our Worlds at War","2001","Already present","EVT-00036","Event","",""
"Joker: Last Laugh","2001","Added","EVT-00120","Event","DC Universe",""
"Identity Crisis","2004","Already present","EVT-00079","Event","Justice League / Universe-Wide",""
"Countdown to Infinite Crisis","2005","Added","EVT-00121","Event","Crisis Saga",""
"Day of Vengeance","2005","Added","EVT-00122","Event","Crisis Saga",""
"Rann-Thanagar War","2005","Added","EVT-00123","Event","Crisis Saga",""
"Villains United","2005","Added","EVT-00124","Event","Crisis Saga",""
"The OMAC Project","2005","Added","EVT-00125","Event","Crisis Saga",""
"Infinite Crisis","2005","Already present","EVT-00066","Event","Crisis Saga",""
