"Authority ID","Parent Authority","Series Title","Publishing Era","Publishing Line","Label Marker","Assignment Basis"
"SER-00001","100 Bullets","100 Bullets","","Vertigo","Vertigo","Exact title audit"
"SER-01863","100 Bullets","100 Bullets: The US of Anger","","Vertigo","Vertigo","Exact title audit"
"SER-00758","Superman","All-Star Superman","","All-Star","All-Star","Exact title audit"
"SER-00037","American Vampire","American Vampire","","Vertigo","Vertigo","Exact title audit"
"SER-01616","DC Universe","American Vampire 1976","DC Universe","Black Label","Black Label","Exact title audit"
"SER-01876","Animal Man","Animal Man","","Vertigo","Vertigo","Separate line-specific authority"
"SER-00792","The Authority","The Authority","","WildStorm","WildStorm","Exact title audit"
"SER-01617","DC Universe","Basketful of Heads","DC Universe","Hill House Comics","Hill House Comics","Exact title audit"
"SER-01031","Batman","Batman: Beyond the White Knight","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-00084","Batman Black Label Line","Batman: Curse of the White Knight","DC Universe","Black Label","Black Label","Exact title audit"
"SER-00085","Batman Black Label Line","Batman: Damned","","Black Label","Black Label","Exact title audit"
"SER-01852","DC Universe","Batman: Gotham by Gaslight – A League for Justice","DC All In","Elseworlds","Elseworlds","Exact title audit"
"SER-00086","Batman Black Label Line","Batman: Last Knight on Earth","DC Universe","Black Label","Black Label","Exact title audit"
"SER-01028","Batman","Batman: One Dark Knight","Infinite Frontier","Black Label","Black Label","Exact title audit"
"SER-00248","Elseworlds / Alternate Universe","Batman: The Dark Knight Returns","","Elseworlds","Elseworlds","Exact title audit"
"SER-00249","Elseworlds / Alternate Universe","Batman: The Dark Knight Strikes Again","","Elseworlds","Elseworlds","Exact title audit"
"SER-00087","Batman Black Label Line","Batman: Three Jokers","DC Universe","Black Label","Black Label","Exact title audit"
"SER-00088","Batman Black Label Line","Batman: White Knight","Rebirth","Black Label","Black Label","Exact title audit"
"SER-01030","Batman","Batman: White Knight Presents: Harley Quinn","","Black Label","Black Label","Exact title audit"
