"Authority","Primary ID","Type","Dedicated Records","Oldest Series","Newest Series","Validation"
"All-Star Squadron","TEM-00001","Team","2","1981","1987","PASS"
"The Authority","CHR-00407","Team","3","1999","2005","PASS"
"Batgirls","TEM-DCX-0014","Team","2","2021","2023","PASS"
"Birds of Prey","TEM-00003","Team","5","1999","2009","PASS"
"Blackhawk","CHR-00056","Team","5","1944","2012","PASS"
"Blood Syndicate","DTA-0001","Team","3","1993","2022","PASS"
"Boy Commandos","DTA-0002","Team","2","1942","1949","PASS"
"Challengers of the Unknown","CHR-00079","Team","4","1958","1978","PASS"
"Checkmate","DTA-0003","Team","3","1988","2021","PASS"
"Crime Syndicate","DTA-0004","Team","1","2021","2021","PASS"
"Creature Commandos","TEM-DCX-0064","Team","2","2000","2001","PASS"
"Dead Boy Detectives","TEM-DCX-0069","Team","2","2014","2023","PASS"
"Demon Knights","DTA-0005","Team","2","2011","2013","PASS"
"Doom Patrol","TEM-00006","Team","6","1964","1968","PASS"
"DV8","DTA-0006","Team","2","1996","2011","PASS"
"Forever People","DTA-0007","Team","3","1971","1988","PASS"
"Freedom Fighters","CHR-00150","Team","3","1976","1978","PASS"
"Gen13","CHR-00157","Team","2","1995","2002","PASS"
"Gotham City Sirens","DTA-0008","Team","2","2009","2024","PASS"
"The Great Ten","DTA-0009","Team","1","2009","2010","PASS"
"Green Lantern Corps","TEM-DCX-0090","Team","4","","","PASS"
"Infinity Inc.","DTA-0010","Team","2","1984","2008","PASS"
"Justice League","TEM-00009","Team","17","","","PASS"
"Justice League Dark","TEM-00011","Team","2","","","PASS"
"Justice Society of America","TEM-00013","Team","10","","","PASS"
"L.E.G.I.O.N.","SER-DCX-0201","Team","1","1989","1994","PASS"
"Legion of Super-Heroes","TEM-00014","Team","4","","","PASS"
"Metal Men","CHR-00250","Team","3","1963","1978","PASS"
"New Gods","TEM-DCX-0128","Team","3","1971","1972","PASS"
"New Guardians","DTA-0011","Team","1","1988","1989","PASS"
"The Omega Men","SER-DCX-0219","Team","2","1983","1986","PASS"
"The Outsiders","CHR-00431","Team","4","1985","1988","PASS"
"Power Company","DTA-0012","Team","3","2002","2025","PASS"
"Primal Force","SER-DCX-0206","Team","1","1994","1996","PASS"
"R.E.B.E.L.S.","SER-DCX-0207","Team","2","1994","2011","PASS"
"Scare Tactics","SER-DCX-0209","Team","1","1996","1998","PASS"
"Sea Devils","CHR-00350","Team","2","1961","1967","PASS"
"Secret Six","CHR-00351","Team","6","2006","2025","PASS"
"Secret Society of Super-Villains","DTA-0014","Team","1","1976","1978","PASS"
"Section Eight","DTA-0013","Team","2","2015","2015","PASS"
"Seven Soldiers","DTA-0015","Team","1","2005","2005","PASS"
"Shadow Cabinet","DTA-0016","Team","2","1994","2025","PASS"
"Shadowpact","CHR-00360","Team","2","2006","2008","PASS"
"Sovereign Seven","SER-DCX-0211","Team","1","1995","1998","PASS"
"Stormwatch","CHR-00389","Team","4","1993","2009","PASS"
"Suicide Squad","TEM-00016","Team","8","","","PASS"
"Super Sons","DTA-0017","Team","6","2017","2021","PASS"
"Team 7","DTA-0018","Team","4","1994","2013","PASS"
"Teen Titans","TEM-00015","Team","7","","","PASS"
"The Terrifics","CHR-00447","Team","2","2018","2020","PASS"
"Titans","TEM-DCX-0171","Team","14","2023","2023","PASS"
"The Movement","DTA-0019","Team","2","2013","2014","PASS"
"The Immortal Men","DTA-0020","Team","2","2018","2018","PASS"
"The Unexpected","DTA-0021","Team","2","2018","2019","PASS"
"Green Team","DTA-0022","Team","2","2013","2014","PASS"
"Helix","DTA-0023","Team","1","1987","1988","PASS"
"Hero Hotline","DTA-0024","Team","1","1989","1989","PASS"
"The Wanderers","DTA-0025","Team","1","1988","1989","PASS"
"The Losers","DTA-0027","Team","2","1972","2006","PASS"
"WildC.A.T.s","CHR-00494","Team","3","1992","1998","PASS"
"Young Heroes in Love","SER-DCX-0225","Team","1","1997","1998","PASS"
"Young Justice","CHR-00511","Team","3","1998","2020","PASS"
"Captain Carrot / Zoo Crew","SER-DCX-0190","Team","2","1982","1986","PASS"
