"action","authority","title","publisher","publishing_line","start_year","record_id"
"ADD AUTHORITY","100%","","Image","Image Central","","IMA-0001"
"ADD SERIES","100%","100%","Image","Image Central","","IMS-0001"
"ADD AUTHORITY","1949","","Image","Image Central","","IMA-0002"
"ADD SERIES","1949","1949","Image","Image Central","","IMS-0002"
"ADD AUTHORITY","20th Century Men","","Image","Image Central","","IMA-0003"
"ADD SERIES","20th Century Men","20th Century Men","Image","Image Central","","IMS-0003"
"ADD AUTHORITY","39 Minutes","","Image","Image Central","","IMA-0004"
"ADD SERIES","39 Minutes","39 Minutes","Image","Image Central","","IMS-0004"
"ADD AUTHORITY","3Keys","","Image","Image Central","","IMA-0005"
"ADD SERIES","3Keys","3Keys","Image","Image Central","","IMS-0005"
"ADD AUTHORITY","68","","Image","Image Central","","IMA-0006"
"ADD SERIES","68","68","Image","Image Central","","IMS-0006"
"ADD AUTHORITY","A Distant Soil","","Image","Image Central","","IMA-0007"
"REPAIR SERIES","A Distant Soil","A Distant Soil","Image","Image Central","","SER-01114"
"ADD AUTHORITY","A HAUNTED GIRL","","Image","Image Central","","IMA-0008"
"ADD SERIES","A HAUNTED GIRL","A HAUNTED GIRL","Image","Image Central","","IMS-0007"
"ADD AUTHORITY","A Man Among Ye","","Image","Image Central","","IMA-0009"
"ADD SERIES","A Man Among Ye","A Man Among Ye","Image","Image Central","","IMS-0008"
"ADD AUTHORITY","A Righteous Thirst for Vengeance","","Image","Image Central","","IMA-0010"
"ADD SERIES","A Righteous Thirst for Vengeance","A Righteous Thirst for Vengeance","Image","Image Central","","IMS-0009"
"ADD AUTHORITY","A Thing Called Truth","","Image","Image Central","","IMA-0011"
"ADD SERIES","A Thing Called Truth","A Thing Called Truth","Image","Image Central","","IMS-0010"
"ADD AUTHORITY","A Town Called Terror","","Image","Image Central","","IMA-0012"
"ADD SERIES","A Town Called Terror","A Town Called Terror","Image","Image Central","","IMS-0011"
"ADD AUTHORITY","A Voice in the Dark","","Image","Image Central","","IMA-0013"
"ADD SERIES","A Voice in the Dark","A Voice in the Dark","Image","Image Central","","IMS-0012"
"ADD AUTHORITY","A.D.: After Death","","Image","Image Central","","IMA-0014"
"ADD SERIES","A.D.: After Death","A.D.: After Death","Image","Image Central","","IMS-0013"
"ADD AUTHORITY","A.R.C.","","Image","Image Central","","IMA-0015"
"ADD SERIES","A.R.C.","A.R.C.","Image","Image Central","","IMS-0014"
"ADD AUTHORITY","Above Snakes","","Image","Image Central","","IMA-0016"
"ADD SERIES","Above Snakes","Above Snakes","Image","Image Central","","IMS-0015"
"ADD AUTHORITY","Adventureman","","Image","Image Central","","IMA-0017"
"ADD SERIES","Adventureman","Adventureman","Image","Image Central","","IMS-0016"
"ADD AUTHORITY","Adventures In The Rifle Brigade","","Image","Image Central","","IMA-0018"
"ADD SERIES","Adventures In The Rifle Brigade","Adventures In The Rifle Brigade","Image","Image Central","","IMS-0017"
"ADD AUTHORITY","Age of Bronze","","Image","Image Central","","IMA-0019"
"REPAIR SERIES","Age of Bronze","Age of Bronze","Image","Image Central","","SER-01115"
"ADD AUTHORITY","Ain't No Grave","","Image","Image Central","","IMA-0020"
"ADD SERIES","Ain't No Grave","Ain't No Grave","Image","Image Central","","IMS-0018"
"ADD AUTHORITY","Alex + Ada","","Image","Image Central","","IMA-0021"
"REPAIR SERIES","Alex + Ada","Alex + Ada","Image","Image Central","","SER-01116"
"ADD AUTHORITY","All Against All","","Image","Image Central","","IMA-0022"
"ADD SERIES","All Against All","All Against All","Image","Image Central","","IMS-0019"
