"Cover title","Type","Parent authority","Marker type","Marker","Start year","End year","Coverage status","Authority ID"
"A+X","Series","Avengers","era","Marvel NOW!","2012","2014","Covered","SER-01879"
"All-New X-Men","Series","X-Men","era","Marvel NOW!","2012","2015","Covered","SER-00992"
"Avengers","Series","Avengers","era","Marvel NOW!","2012","2015","Covered","SER-01880"
"Avengers Arena","Series","Avengers","era","Marvel NOW!","2012","2013","Covered","SER-01095"
"Avengers Assemble","Series","Avengers","era","Marvel NOW!","2012","2014","Covered","SER-01881"
"Avengers World","Series","Avengers","era","Marvel NOW!","2014","2015","Covered","SER-01882"
"Avengers A.I.","Series","Avengers","era","Marvel NOW!","2013","2014","Covered","SER-01096"
"Cable and X-Force","Series","Cable","era","Marvel NOW!","2012","2014","Covered","SER-01883"
"Captain America","Series","Captain America","era","Marvel NOW!","2012","2014","Covered","SER-01884"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","Marvel NOW!","2012","2013","Covered","SER-01885"
"Deadpool","Series","Deadpool","era","Marvel NOW!","2012","2015","Covered","SER-01886"
"Fearless Defenders","Series","Defenders","era","Marvel NOW!","2013","2014","Covered","SER-01887"
"Fantastic Four","Series","Fantastic Four","era","Marvel NOW!","2012","2014","Covered","SER-01888"
"FF","Series","Fantastic Four","era","Marvel NOW!","2012","2014","Covered","SER-01889"
"Guardians of the Galaxy","Series","Guardians of the Galaxy","era","Marvel NOW!","2013","2015","Covered","SER-01890"
"Indestructible Hulk","Series","Hulk","era","Marvel NOW!","2012","2014","Covered","SER-00359"
"Iron Man","Series","Iron Man","era","Marvel NOW!","2012","2014","Covered","SER-01891"
"Morbius: The Living Vampire","Series","Morbius","era","Marvel NOW!","2013","2013","Covered","SER-00516"
"New Avengers","Series","Avengers","era","Marvel NOW!","2013","2015","Covered","SER-00060"
"Nova","Series","Nova","era","Marvel NOW!","2013","2015","Covered","SER-01892"
"Savage Wolverine","Series","Wolverine","era","Marvel NOW!","2013","2015","Covered","SER-01893"
"Secret Avengers","Series","Avengers","era","Marvel NOW!","2013","2014","Covered","SER-01092"
"Superior Spider-Man","Series","Spider-Man","era","Marvel NOW!","2013","2014","Covered","SER-01894"
"Superior Spider-Man Team-Up","Series","Spider-Man","era","Marvel NOW!","2013","2014","Covered","SER-01895"
"The Superior Foes of Spider-Man","Series","Spider-Man","era","Marvel NOW!","2013","2014","Covered","SER-01896"
"Thor: God of Thunder","Series","Thor","era","Marvel NOW!","2012","2014","Covered","SER-01897"
"Thunderbolts","Series","Thunderbolts","era","Marvel NOW!","2012","2014","Covered","CHR-00457"
"Uncanny Avengers","Series","Avengers","era","Marvel NOW!","2012","2014","Covered","SER-01093"
"Uncanny X-Force","Series","X-Men","era","Marvel NOW!","2013","2014","Covered","SER-01898"
"Uncanny X-Men","Series","X-Men","era","Marvel NOW!","2013","2015","Covered","SER-01899"
"Wolverine","Series","Wolverine","era","Marvel NOW!","2013","2014","Covered","SER-01900"
"Wolverine and the X-Men","Series","X-Men","era","Marvel NOW!","2011","2014","Covered","SER-01085"
"X-Men","Series","X-Men","era","Marvel NOW!","2013","2015","Covered","SER-01901"
"X-Men Legacy","Series","X-Men","era","Marvel NOW!","2012","2014","Covered","SER-01902"
"Young Avengers","Series","Young Avengers","era","Marvel NOW!","2013","2014","Covered","SER-01903"
"Alpha: Big Time","Series","Spider-Man","era","Marvel NOW!","2013","2013","Covered","SER-01904"
"Superior Carnage","Series","Carnage","era","Marvel NOW!","2013","2013","Covered","SER-01905"
"Thanos Rising","Series","Thanos","era","Marvel NOW!","2013","2013","Covered","SER-01906"
"All-New Ghost Rider","Series","Ghost Rider","era","All-New Marvel NOW!","2014","2015","Covered","SER-01907"
"All-New Invaders","Series","Avengers","era","All-New Marvel NOW!","2014","2015","Covered","SER-01908"
"All-New X-Factor","Series","X-Men","era","All-New Marvel NOW!","2014","2015","Covered","SER-01909"
"All-New Ultimates","Series","Ultimate Universe","era","All-New Marvel NOW!","2014","2015","Covered","SER-01910"
"Amazing X-Men","Series","X-Men","era","All-New Marvel NOW!","2013","2015","Covered","SER-01911"
"Amazing Spider-Man","Series","Spider-Man","era","All-New Marvel NOW!","2014","2015","Covered","SER-01912"
"Avengers Undercover","Series","Avengers","era","All-New Marvel NOW!","2014","2014","Covered","SER-01913"
"Black Widow","Series","Black Widow","era","All-New Marvel NOW!","2014","2015","Covered","SER-01914"
"Captain Marvel","Series","Captain Marvel (Carol Danvers)","era","All-New Marvel NOW!","2014","2015","Covered","SER-01915"
