"action","authority","title","publisher","publishing_line","start_year","end_year"
"AUDIT AUTHORITY","Angela","","Marvel","","",""
"AUDIT SERIES","Angela","Angela: Asgard's Assassin","Marvel","","2014","2015"
"AUDIT SERIES","Angela","Angela: Queen of Hel","Marvel","","2015","2016"
"AUDIT AUTHORITY","Aero","","Marvel","","",""
"AUDIT SERIES","Aero","Aero","Marvel","","2019","2020"
"AUDIT AUTHORITY","Araña","","Marvel","","",""
"AUDIT SERIES","Araña","Araña: Heart of the Spider","Marvel","","2005","2006"
"AUDIT SERIES","Araña","Spider-Girl","Marvel","","2010","2011"
"AUDIT AUTHORITY","Armor","","Marvel","","",""
"AUDIT SERIES","Armor","Ultimate X-Men: Armor","Marvel","","2025","2025"
"AUDIT AUTHORITY","Black Bolt","","Marvel","","",""
"AUDIT SERIES","Black Bolt","Black Bolt","Marvel","","2017","2018"
"AUDIT AUTHORITY","Blood Hunters","","Marvel","","",""
"AUDIT SERIES","Blood Hunters","Blood Hunters","Marvel","","2024","2025"
"AUDIT AUTHORITY","Brother Voodoo / Doctor Voodoo","","Marvel","","",""
"AUDIT SERIES","Brother Voodoo / Doctor Voodoo","Doctor Voodoo: Avenger of the Supernatural","Marvel","","2009","2010"
"AUDIT SERIES","Brother Voodoo / Doctor Voodoo","Strange Tales","Marvel","","1973","1974"
"AUDIT AUTHORITY","Devil Dinosaur / Moon Girl","","Marvel","","",""
"AUDIT SERIES","Devil Dinosaur / Moon Girl","Devil Dinosaur","Marvel","","1978","1978"
"AUDIT AUTHORITY","Echo","","Marvel","","",""
"AUDIT SERIES","Echo","Echo","Marvel","","2021","2021"
"AUDIT SERIES","Echo","Phoenix Song: Echo","Marvel","","2021","2022"
"AUDIT SERIES","Echo","Daredevil: Echo","Marvel","","2023","2023"
"AUDIT AUTHORITY","Elsa Bloodstone","","Marvel","","",""
"AUDIT SERIES","Elsa Bloodstone","Bloodstone","Marvel","","2001","2002"
"AUDIT AUTHORITY","Firestar","","Marvel","","",""
"AUDIT SERIES","Firestar","Firestar","Marvel","","1986","1986"
"AUDIT SERIES","Firestar","Marvel Divas","Marvel","","2009","2009"
"AUDIT AUTHORITY","Foolkiller","","Marvel","MAX","",""
"AUDIT SERIES","Foolkiller","Foolkiller","Marvel","MAX","2007","2008"
"AUDIT SERIES","Foolkiller","Foolkiller: White Angels","Marvel","MAX","2008","2009"
"AUDIT AUTHORITY","G.O.D.S.","","Marvel","","",""
"AUDIT SERIES","G.O.D.S.","G.O.D.S.","Marvel","","2023","2024"
"AUDIT AUTHORITY","Hellcat","","Marvel","","",""
"AUDIT SERIES","Hellcat","Patsy Walker, A.K.A. Hellcat!","Marvel","","2016","2017"
