Action,Title,Parent,Start Year,End Year,Note
"Confirmed/enriched primary","Contest of Champions","","2015","2017",""
"Added dedicated event title","Marvel Super Hero Contest of Champions","Contest of Champions","1982","2017",""
"Added dedicated event title","Contest of Champions II","Contest of Champions","1982","2017",""
"Added dedicated event title","Contest of Champions","Contest of Champions","1982","2017",""
"Confirmed/enriched primary","Secret Wars","","1984","2016",""
"Confirmed/enriched title","Marvel Super Heroes Secret Wars","Secret Wars","1984","2016",""
"Confirmed/enriched title","Secret Wars II","Secret Wars","1984","2016",""
"Confirmed/enriched title","Secret Wars","Secret Wars","1984","2016",""
"Confirmed/enriched title","Secret Wars: Battleworld","Secret Wars","2015","2015",""
"Confirmed/enriched title","Secret Wars: Secret Love","Secret Wars","2015","2015",""
"Added primary authority","The Infinity Gauntlet","","1991","1991",""
"Reparented dedicated title","The Infinity Gauntlet","The Infinity Gauntlet","1991","1991","Former parent: Infinity Saga"
"Added primary authority","The Infinity War","","1992","1992",""
"Reparented dedicated title","The Infinity War","The Infinity War","1992","1992","Former parent: Infinity Saga"
"Added primary authority","The Infinity Crusade","","1993","1993",""
"Reparented dedicated title","The Infinity Crusade","The Infinity Crusade","1993","1993","Former parent: Infinity Saga"
"Added primary authority","Onslaught","","1996","1996",""
"Added dedicated event title","Onslaught: X-Men","Onslaught","1996","1996",""
"Added dedicated event title","Onslaught: Marvel Universe","Onslaught","1996","1996",""
"Added dedicated event title","Onslaught: Epilogue","Onslaught","1996","1996",""
"Added dedicated event title","Onslaught Reborn","Onslaught","1996","1996",""
"Added primary authority","Maximum Security","","2000","2001",""
"Added dedicated event title","Maximum Security","Maximum Security","2000","2001",""
"Added dedicated event title","Maximum Security: Dangerous Planet","Maximum Security","2000","2001",""
"Added primary authority","Infinity Abyss","","2002","2002",""
"Added dedicated event title","Infinity Abyss","Infinity Abyss","2002","2002",""
"Added primary authority","House of M","","2005","2015",""
"Reparented dedicated title","House of M","House of M","2005","2015","Former parent: X-Men"
"Added dedicated event title","House of M: Avengers","House of M","2005","2015",""
"Added dedicated event title","House of M: Civil War","House of M","2005","2015",""
"Added dedicated event title","House of M: Fantastic Four","House of M","2005","2015",""
"Added dedicated event title","House of M: Masters of Evil","House of M","2005","2015",""
"Added dedicated event title","House of M: Spider-Man","House of M","2005","2015",""
"Added dedicated event title","House of M: World of M Featuring Wolverine","House of M","2005","2015",""
"Added primary authority","Annihilation","","2006","2007",""
"Reparented dedicated title","Annihilation","Annihilation","2006","2007","Former parent: Annihilation Saga"
"Added dedicated event title","Annihilation: Prologue","Annihilation","2006","2007",""
"Added dedicated event title","Annihilation: Nova","Annihilation","2006","2007",""
"Added dedicated event title","Annihilation: Ronan","Annihilation","2006","2007",""
"Added dedicated event title","Annihilation: Silver Surfer","Annihilation","2006","2007",""
"Added dedicated event title","Annihilation: Super-Skrull","Annihilation","2006","2007",""
"Added dedicated event title","Annihilation: Heralds of Galactus","Annihilation","2006","2007",""
"Confirmed/enriched primary","Civil War","","2006","2007",""
"Confirmed/enriched title","Civil War","Civil War","2006","2007",""
"Added dedicated event title","Civil War: Choosing Sides","Civil War","2006","2007",""
"Added dedicated event title","Civil War: Front Line","Civil War","2006","2007",""
"Added dedicated event title","Civil War: The Confession","Civil War","2006","2007",""
"Added dedicated event title","Civil War: The Initiative","Civil War","2006","2007",""
"Added dedicated event title","Civil War: War Crimes","Civil War","2006","2007",""
"Added primary authority","World War Hulk","","2007","2008",""
"Reparented dedicated title","World War Hulk","World War Hulk","2007","2008","Former parent: Spider-Man"
"Added dedicated event title","World War Hulk: Aftersmash","World War Hulk","2007","2008",""
"Added dedicated event title","World War Hulk: Aftersmash - Damage Control","World War Hulk","2007","2008",""
"Added dedicated event title","World War Hulk: Warbound","World War Hulk","2007","2008",""
"Added dedicated event title","World War Hulk: Front Line","World War Hulk","2007","2008",""
"Added primary authority","Annihilation: Conquest","","2007","2008",""
"Reparented dedicated title","Annihilation: Conquest","Annihilation: Conquest","2007","2008","Former parent: Annihilation Saga"
"Added dedicated event title","Annihilation: Conquest - Prologue","Annihilation: Conquest","2007","2008",""
"Added dedicated event title","Annihilation: Conquest - Quasar","Annihilation: Conquest","2007","2008",""
"Added dedicated event title","Annihilation: Conquest - Star-Lord","Annihilation: Conquest","2007","2008",""
"Added dedicated event title","Annihilation: Conquest - Wraith","Annihilation: Conquest","2007","2008",""
"Confirmed/enriched primary","Secret Invasion","","2008","2008",""
"Reparented dedicated title","Secret Invasion","Secret Invasion","2008","2008","Former parent: Dark Reign / Siege Era"
"Added dedicated event title","Secret Invasion: Front Line","Secret Invasion","2008","2008",""
"Added dedicated event title","Secret Invasion: Inhumans","Secret Invasion","2008","2008",""
"Added dedicated event title","Secret Invasion: Runaways/Young Avengers","Secret Invasion","2008","2008",""
"Added dedicated event title","Secret Invasion: Who Do You Trust?","Secret Invasion","2008","2008",""
"Added primary authority","War of Kings","","2009","2009",""
"Added dedicated event title","War of Kings","War of Kings","2009","2009",""
"Added dedicated event title","War of Kings: Ascension","War of Kings","2009","2009",""
"Added dedicated event title","War of Kings: Darkhawk","War of Kings","2009","2009",""
"Added dedicated event title","War of Kings: Warriors","War of Kings","2009","2009",""
"Added dedicated event title","War of Kings: Who Will Rule?","War of Kings","2009","2009",""
"Added primary authority","Realm of Kings","","2009","2010",""
"Added dedicated event title","Realm of Kings","Realm of Kings","2009","2010",""
"Added dedicated event title","Realm of Kings: Imperial Guard","Realm of Kings","2009","2010",""
"Added dedicated event title","Realm of Kings: Inhumans","Realm of Kings","2009","2010",""
"Added dedicated event title","Realm of Kings: Son of Hulk","Realm of Kings","2009","2010",""
"Added primary authority","Siege","","2010","2010",""
"Reparented dedicated title","Siege","Siege","2010","2010","Former parent: Dark Reign / Siege Era"
"Added dedicated event title","Siege: Embedded","Siege","2010","2010",""
"Added dedicated event title","Siege: Captain America","Siege","2010","2010",""
"Added dedicated event title","Siege: Loki","Siege","2010","2010",""
"Added dedicated event title","Siege: Secret Warriors","Siege","2010","2010",""
"Added dedicated event title","Siege: Spider-Man","Siege","2010","2010",""
"Added dedicated event title","Siege: Young Avengers","Siege","2010","2010",""
"Added primary authority","Shadowland","","2010","2010",""
"Added dedicated event title","Shadowland","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: After the Fall","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Blood on the Streets","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Daughters of the Shadow","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Elektra","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Moon Knight","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Power Man","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Spider-Man","Shadowland","2010","2010",""
"Added dedicated event title","Shadowland: Thunderbolts","Shadowland","2010","2010",""
"Added primary authority","The Thanos Imperative","","2010","2011",""
"Added dedicated event title","The Thanos Imperative","The Thanos Imperative","2010","2011",""
"Added dedicated event title","The Thanos Imperative: Ignition","The Thanos Imperative","2010","2011",""
"Added dedicated event title","The Thanos Imperative: Devastation","The Thanos Imperative","2010","2011",""
"Added primary authority","Chaos War","","2010","2011",""
"Reparented dedicated title","Chaos War","Chaos War","2010","2011","Former parent: Annihilation Saga"
"Added dedicated event title","Chaos War: Ares","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: Alpha Flight","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: Avengers","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: Chaos King","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: Dead Avengers","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: God Squad","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: Thor","Chaos War","2010","2011",""
"Added dedicated event title","Chaos War: X-Men","Chaos War","2010","2011",""
"Added primary authority","Fear Itself","","2011","2012",""
"Reparented dedicated title","Fear Itself","Fear Itself","2011","2012","Former parent: Dark Reign / Siege Era"
"Added dedicated event title","Fear Itself: Book of the Skull","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: Fearsome Four","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: The Deep","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: The Fearless","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: Youth in Revolt","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: Deadpool","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: Spider-Man","Fear Itself","2011","2012",""
"Added dedicated event title","Fear Itself: Wolverine","Fear Itself","2011","2012",""
"Added primary authority","Spider-Island","","2011","2015",""
"Added dedicated event title","Spider-Island","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Avengers","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Cloak & Dagger","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Deadly Foes","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Emergence of Evil","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Heroes for Hire","Spider-Island","2011","2015",""
"Added dedicated event title","Spider-Island: Spider-Girl","Spider-Island","2011","2015",""
"Added primary authority","Avengers vs. X-Men","","2012","2012",""
"Reparented dedicated title","Avengers vs. X-Men","Avengers vs. X-Men","2012","2012","Former parent: X-Men"
"Added dedicated event title","Avengers vs. X-Men: Infinite","Avengers vs. X-Men","2012","2012",""
"Added dedicated event title","AVX: Consequences","Avengers vs. X-Men","2012","2012",""
"Added dedicated event title","AVX: VS","Avengers vs. X-Men","2012","2012",""
"Added primary authority","Messiah Complex","","2007","2008",""
"Added dedicated event title","X-Men: Messiah Complex","Messiah Complex","2007","2008",""
"Added dedicated event title","X-Men: Messiah Complex - Mutant Files","Messiah Complex","2007","2008",""
"Added primary authority","Age of Ultron","","2013","2013",""
"Reparented dedicated title","Age of Ultron","Age of Ultron","2013","2013","Former parent: Avengers"
"Added dedicated event title","Age of Ultron: Book Ten A.I.","Age of Ultron","2013","2013",""
"Added dedicated event title","Age of Ultron: Epilogue","Age of Ultron","2013","2013",""
"Added dedicated event title","Age of Ultron vs. Marvel Zombies","Age of Ultron","2013","2013",""
"Added primary authority","Infinity","","2013","2014",""
"Reparented dedicated title","Infinity","Infinity","2013","2014","Former parent: Infinity Saga"
"Added dedicated event title","Infinity: Against the Tide","Infinity","2013","2014",""
"Added dedicated event title","Infinity: Heist","Infinity","2013","2014",""
"Added dedicated event title","Infinity: The Hunt","Infinity","2013","2014",""
"Added primary authority","Original Sin","","2014","2014",""
"Reparented dedicated title","Original Sin","Original Sin","2014","2014","Former parent: Avengers"
"Added dedicated event title","Original Sins","Original Sin","2014","2014",""
"Added dedicated event title","Original Sin: Secret Avengers Infinite Comic","Original Sin","2014","2014",""
"Added dedicated event title","Original Sin: Hulk vs. Iron Man","Original Sin","2014","2014",""
"Added dedicated event title","Original Sin: Thor & Loki - The Tenth Realm","Original Sin","2014","2014",""
"Added primary authority","AXIS","","2014","2015",""
"Added dedicated event title","Avengers & X-Men: AXIS","AXIS","2014","2015",""
"Added dedicated event title","AXIS: Carnage","AXIS","2014","2015",""
"Added dedicated event title","AXIS: Hobgoblin","AXIS","2014","2015",""
"Added dedicated event title","AXIS: Revolutions","AXIS","2014","2015",""
"Added primary authority","Civil War II","","2016","2017",""
"Reparented dedicated title","Civil War II","Civil War II","2016","2017","Former parent: Civil War"
"Reparented dedicated title","Civil War II: Choosing Sides","Civil War II","2016","2016","Former parent: Civil War"
"Reparented dedicated title","Civil War II: Gods of War","Civil War II","2016","2016","Former parent: Civil War"
"Reparented dedicated title","Civil War II: Kingpin","Civil War II","2016","2016","Former parent: Civil War"
"Reparented dedicated title","Civil War II: Ulysses","Civil War II","2016","2016","Former parent: Civil War"
"Added dedicated event title","Civil War II: The Accused","Civil War II","2016","2017",""
"Added dedicated event title","Civil War II: The Fallen","Civil War II","2016","2017",""
"Added dedicated event title","Civil War II: The Oath","Civil War II","2016","2017",""
"Added primary authority","Inhumans vs. X-Men","","2016","2017",""
"Reparented dedicated title","Inhumans vs. X-Men","Inhumans vs. X-Men","2016","2017","Former parent: X-Men"
"Confirmed/enriched primary","Secret Empire","","2017","2017",""
"Added dedicated event title","Secret Empire","Secret Empire","2017","2017",""
"Confirmed/enriched title","Secret Empire: Brave New World","Secret Empire","2017","2017",""
"Added dedicated event title","Secret Empire: Omega","Secret Empire","2017","2017",""
"Confirmed/enriched title","Secret Empire: Underground","Secret Empire","2017","2017",""
"Confirmed/enriched title","Secret Empire: United","Secret Empire","2017","2017",""
"Confirmed/enriched title","Secret Empire: Uprising","Secret Empire","2017","2017",""
"Added primary authority","Infinity Wars","","2018","2019",""
"Added dedicated event title","Infinity Countdown","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Adam Warlock","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Black Widow","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Captain Marvel","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Champions","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Daredevil","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown: Darkhawk","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Countdown Prime","Infinity Wars","2018","2019",""
"Reparented dedicated title","Infinity Wars","Infinity Wars","2018","2018","Former parent: Infinity Saga"
"Added dedicated event title","Infinity Wars: Arachknight","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Fallen Guardian","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Ghost Panther","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Infinity","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Iron Hammer","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Sleepwalker","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Soldier Supreme","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Wars: Weapon Hex","Infinity Wars","2018","2019",""
"Added dedicated event title","Infinity Warps","Infinity Wars","2018","2019",""
"Confirmed/enriched primary","War of the Realms","","2019","2019",""
"Added dedicated event title","War of the Realms","War of the Realms","2019","2019",""
"Added dedicated event title","War of the Realms: Journey into Mystery","War of the Realms","2019","2019",""
"Confirmed/enriched title","War of the Realms: New Agents of Atlas","War of the Realms","2019","2019",""
"Added dedicated event title","War of the Realms: Omega","War of the Realms","2019","2019",""
"Confirmed/enriched title","War of the Realms: Punisher","War of the Realms","2019","2019",""
"Added dedicated event title","War of the Realms: Strikeforce","War of the Realms","2019","2019",""
"Confirmed/enriched title","War of the Realms: Uncanny X-Men","War of the Realms","2019","2019",""
"Added dedicated event title","War of the Realms: War Scrolls","War of the Realms","2019","2019",""
"Confirmed/enriched primary","Absolute Carnage","","2019","2019",""
"Added dedicated event title","Absolute Carnage","Absolute Carnage","2019","2020",""
"Confirmed/enriched title","Absolute Carnage: Avengers","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Captain Marvel","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Immortal Hulk","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Lethal Protectors","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Miles Morales","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Scream","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Separation Anxiety","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Symbiote of Vengeance","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Symbiote Spider-Man","Absolute Carnage","2019","2019",""
"Confirmed/enriched title","Absolute Carnage: Weapon Plus","Absolute Carnage","2019","2019",""
"Confirmed/enriched primary","Empyre","","2020","2020",""
"Added dedicated event title","Empyre","Empyre","2020","2020",""
"Added dedicated event title","Empyre: Aftermath Avengers","Empyre","2020","2020",""
"Confirmed/enriched title","Empyre: Avengers","Empyre","2020","2020",""
"Confirmed/enriched title","Empyre: Captain America","Empyre","2020","2020",""
"Confirmed/enriched title","Empyre: Fantastic Four","Empyre","2020","2020",""
"Added dedicated event title","Empyre: Fallout Fantastic Four","Empyre","2020","2020",""
"Confirmed/enriched title","Empyre: Savage Avengers","Empyre","2020","2020",""
"Confirmed/enriched title","Empyre: X-Men","Empyre","2020","2020",""
"Confirmed/enriched primary","King in Black","","2020","2021",""
"Added dedicated event title","King in Black","King in Black","2020","2021",""
"Confirmed/enriched title","King in Black: Avengers","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Black Knight","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Captain America","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Ghost Rider","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Immortal Hulk","King in Black","2020","2020",""
"Confirmed/enriched title","King in Black: Namor","King in Black","2020","2021",""
"Confirmed/enriched title","King in Black: Planet of the Symbiotes","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Return of the Valkyries","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Scream","King in Black","2021","2021",""
"Confirmed/enriched title","King in Black: Spider-Man","King in Black","2021","2021",""
