Authority,Primary ID,Type,Dedicated Records,Oldest Series,Newest Series,Validation
"A-Force","MTA-0001","Team","2","2015","2016","PASS"
"Agents of Atlas","MTA-0002","Team","6","2006","2019","PASS"
"Alpha Flight","CHR-00015","Team","6","1983","2023","PASS"
"Annihilators","MTA-0003","Team","2","2011","2011","PASS"
"Champions","CHR-00080","Team","6","1975","2021","PASS"
"ClanDestine","MTA-0004","Team","2","1994","2008","PASS"
"Damage Control","MTA-0005","Team","3","1989","2022","PASS"
"Daughters of the Dragon","MTA-0006","Team","2","2006","2019","PASS"
"Defenders","TEM-00005","Team","10","1972","2022","PASS"
"Eternals","MTA-0007","Team","6","1976","2022","PASS"
"Excalibur","MTA-0008","Team","6","1988","2022","PASS"
"Exiles","CHR-00139","Team","4","2001","2019","PASS"
"Fantastic Four","TEM-00007","Team","16","2012","2026","PASS"
"Force Works","MTA-0009","Team","2","1994","2020","PASS"
"Future Foundation","MTA-0010","Team","4","2011","2020","PASS"
"Generation Hope","MTA-0011","Team","1","2010","2012","PASS"
"Generation X","CHR-00158","Team","4","1994","2018","PASS"
"Guardians of the Galaxy","TEM-00008","Team","11","2013","2023","PASS"
"Hellions","MTA-0012","Team","3","2005","2021","PASS"
"Heroes for Hire","CHR-00183","Team","4","1997","2011","PASS"
"Illuminati","CHR-00193","Team","2","2015","2016","PASS"
"Inhumans","CHR-00198","Team","14","2014","2018","PASS"
"Infinity Watch","MTA-0013","Team","2","1992","2025","PASS"
"Invaders","MTA-0014","Team","4","1975","2020","PASS"
"Legion of Monsters","MTA-0015","Team","1","2011","2012","PASS"
"Marauders","MTA-0016","Team","3","2019","2023","PASS"
"Mercs for Money","MTA-0017","Team","1","2016","2016","PASS"
"Midnight Sons","MTA-0018","Team","2","1993","2023","PASS"
"New Mutants","CHR-00273","Team","7","1983","2023","PASS"
"New Warriors","EVT-00011","Team","6","1990","2015","PASS"
"Nextwave","CHR-00274","Team","1","","","PASS"
"Nightstalkers","MTA-0019","Team","1","1992","1994","PASS"
"Omega Flight","MTA-0020","Team","1","2007","2007","PASS"
"Pet Avengers","MTA-0021","Team","2","2009","2010","PASS"
"Power Pack","MTA-0022","Team","5","1984","2021","PASS"
"Runaways","CHR-00337","Team","5","2003","2021","PASS"
"Secret Warriors","EVT-00013","Team","4","2009","2018","PASS"
"Slingers","MTA-0023","Team","2","1998","2018","PASS"
"Squadron Supreme","MTA-0024","Team","5","1985","2017","PASS"
"Starjammers","MTA-0025","Team","3","1995","2008","PASS"
"Thunderbolts","CHR-00457","Team","7","1997","2022","PASS"
"Ultimates","CHR-00469","Team","8","2002","2026","PASS"
"Web Warriors","MTA-0026","Team","1","2015","2016","PASS"
"X-Corp","MTA-0027","Team","1","2021","2021","PASS"
"X-Factor","MTA-0028","Team","6","1986","2025","PASS"
"X-Force","MTA-0029","Team","12","1991","2026","PASS"
"X-Statix","MTA-0030","Team","3","2002","2023","PASS"
"X-Terminators","MTA-0031","Team","2","1988","2023","PASS"
"Young Avengers","TEM-00024","Team","3","2005","2014","PASS"
